book	book_id	chapter	verse	text
1 Korintô	46	1	1	Me Paul, me bi séblana i ba ñôma nu Kristô Yésu ni njel sômbôl i Nyambe, lôñni Sôsténés mankéé wés,
1 Korintô	46	1	2	me ntilna likoda li Nyambe li li yé i Korintô, bé ba ni bi pubhana ikété adna ni Kristô Yésu, nséblaga i yila bapubhaga lôñni bôt bobasôna ba nsébél jôl li Nwet wés Yésu Kristô homa nyensôna, Nwet wap ni Nwet wés:
1 Korintô	46	1	3	Konangoo i mbuma ñañ ni nsañ bi nlôl yak Nyambe Tata wés ni yak Nwet wés Yésu Kristô bi ba ni bé.
1 Korintô	46	1	4	Me nti Nyambe wem mayéga inyu nan ngéda yosôna, inyu konangoo i mbuma ñan a bi ti bé ni njel Yésu Kristô;
1 Korintô	46	1	5	inyule ni bi yila mingwañ ikété mam momasôna ni njel Kristô, ni ban-ga ngap i yôni i pot, ni yi i yôni,
1 Korintô	46	1	6	hala kiki ni bi yila bôt ba umi siñ siñ ikété mbôgi inyu Kristô,
1 Korintô	46	1	7	inyu boñ le likébla jo ki jo li héñél bañ bé, hala kiki ni nyégi i bem masoola ma Nwet wés Yésu Kristô.
1 Korintô	46	1	8	Nyambe a ga lédés ki bé letee ni lisuk, inyu boñ le mut to wada a bana bañ pôla i ôm bé nsohi i hilo hi Nwet wés Yésu Kristô.
1 Korintô	46	1	9	Nyambe a yé maliga, nyen a bi sébél bé ikété adna ni Man wé Yésu Kristô Nwet wés.
1 Korintô	46	1	10	Ndi me nsoohe bé, a lôk kéé, ni njel jôl li Nwet wés Yésu Kristô, le bébobasôna ni bana kiñ yada, ni le mbagla i ba bañ ipôla nan, ndi ni bana adna i yôni ikété nlélém hoñol ni nlélém litehge li mam.
1 Korintô	46	1	11	Inyule, a lôk kéé, bôt bahogi ba ndap Klôé ba ñañle me le mindañ mi yé ipôla nan.
1 Korintô	46	1	12	I yom me nsômbôl kal i yé le, hiki wada nan a nkal le: “Me yé nnigil nu Paul,” “Ndi me me yé nu Apôlô,” “Ndi me me yé nu Kéfa,” “Ndi me me yé nu Kristô.”
1 Korintô	46	1	13	Baa Kristô a yé nkabak? Ba bi péni bé Paul i kék inyu nan, hala bé? Tole, baa ni bi sôblana i jôl li Paul?
1 Korintô	46	1	14	Me nti Nyambe mayéga le me bi sôble bé to wada ikété nan, handugi Krispô ni Gayô,
1 Korintô	46	1	15	inyu boñ le mut a kal bañ le ni bi sôblana i jôl jem.
1 Korintô	46	1	16	Ñ, me bi sôble yak ndap lihaa i Stéfana. Ndi inyu bana bape, me nhoñol bé le me bi sôble mut numpe nye ki nye.
1 Korintô	46	1	17	Inyule Kristô a bi ep bé me i sôble, ndi i añal ñañ nlam; ha ni bibañga bi bayimam bé, inyu boñ le mut a yilha bañ kék njiiha i Kristô yañga.
