book	book_id	chapter	verse	text
2 Pétrô	61	1	1	Me Simôn Pétrô, nkol ni ñôma nu Yésu Kristô, me ntilna i bôt ba bi kôhna nlélém tik hémle kiki bés ni njel telepsép i Nyambe wés ni i Ntohol le Yésu Kristô:
2 Pétrô	61	1	2	Konangoo i mbuma ñan lôñni nsañ bi bôl i ngii nan ni njel bañga yi i Nyambe ni i Nwet wés Yésu,
2 Pétrô	61	1	3	inyule lipémba jé li Nyambe li mal ti bés mam momasôna ma mbéda bés inyu niñ ni inyu téñbe i gwélél Nyambe ni njel bañga yi i Nu a bi sébél bés ni njel lipém jé nyemede ni libak jé lilam.
2 Pétrô	61	1	4	Ni njel mam mana nyen a bi ti bés mimbônga mi mi yé tik, mi bak ki minkeñi iloo hihéga, kayéle ni njel yap nyen ni yila bayoñngaba i libak li Nyambe, hala kiki di bi pei maboñok mabe ma nkoñ ’isi ma ma nlôl i ngôñ ibe.
2 Pétrô	61	1	5	Inyu njom yaga ini nyen boña biliya binan gwobisôna le mu hémle nan ni kônde libak lilam, mu libak lilam linan ni kônde yi,
2 Pétrô	61	1	6	mu yi nan ni kônde hôtnyuu, mu hôtnyuu nan ni kônde hônba, mu hônba nan ni kônde ndéñbe i gwélél Nyambe,
2 Pétrô	61	1	7	mu ndéñbe nan i gwélél Nyambe ni kônde gwéha lisañ li bôt, mu gwéha nan lisañ li bôt ni kônde gwéha.
2 Pétrô	61	1	8	Inyule ibale ni gwé i mam mana, ma bôlôk ki, ma ga kéñ bé njel le ni ba bôt ba nwaa gwel nson, tole bôt ba ba num bé matam inoñnaga ni bañga yi i Nwet wés Yésu Kristô.
2 Pétrô	61	1	9	Inyule i mut a gwé bé i mam mana, wee a yé ndim, a nyip mis le a tehe bañ mapubi, a nhôya ki le a bi pubhana ni bibéba gwé bi kôba.
2 Pétrô	61	1	10	Jon, a lôk kéé, boña biliya binan gwobisôna le nsébla nan ni nteba nan bi ba yaga ntiik inyu bébomede, inyule ibale ni ntéñbe i boñ mam mana, n’a kwo yaga bé kekikel.
2 Pétrô	61	1	11	Ni maliga, ni njel ini nyen n’a jôp ni ngandak lipém i Ane boga i Nwet wés ni Ntohol wés Yésu Kristô.
2 Pétrô	61	1	12	Inyu njom ini nyen me gwé ngôñ i hôñlaha bé i mam mana ngéda yosôna, to hala kiki ni nyi mo, ni bak ni téé yaga siñ siñ ikété maliga ni nyi.
2 Pétrô	61	1	13	Ndi me ntehe le hala a téé sép le ntel wonsôna me yé munu lap ini, me hôñlaha bé i mam mana inyu ti bé makénd,
2 Pétrô	61	1	14	ni yik kiki me le ndék ngéda wee ba nhéya me lap yem, ndik kiki yak Nwet wés Yésu a bi tibil yaga yis me.
2 Pétrô	61	1	15	M’a boñ biliya gwem gwobisôna le i mbus maké mem, ni la hoñol i mam mana bébomede.
2 Pétrô	61	1	16	To, i ta bé inyule di bé noñ miñañ mi bitembee bôt ba binam ba mbot ni makeñge nyen di bi yis bé ngui i Nwet wés Yésu Kristô ni ngéda a mba ha, ndi inyule di bi tehe lipémba jé ni mis més.
2 Pétrô	61	1	17	Inyule Nyambe Tata a bi ti nye lipém ni bibégés ngéda a bi nok bibañga bini ni njel lipém likeñi le: “Man wem nunu, Man wem nu gwéha, nyen a nlémél me.”
