book	book_id	chapter	verse	text
2 Timôtéô	55	1	1	Me Paul, ñôma nu Kristô Yésu ni njel sômbôl Nyambe inoñnaga ni mbônga u niñ u u yé ni njel Kristô Yésu,
2 Timôtéô	55	1	2	me ntilna Timôtéô, man wem nu gwéha: Konangoo i mbuma ñañ ni konangoo lôñni nsañ bi nlôl yak Nyambe Tata ni yak Kristô Yésu Nwet wés bi ba lôñni we.
2 Timôtéô	55	1	3	Me nti Nyambe mayéga; inyu yé nyen me ngwel nson mpubhaga lôñni kiññem i mpôp, kiki yak basôgôlsôgôl bem ba bi boñ; kekikel me nwaa bé to hoñol we ikété minyemhe nwem juu ni njamuha.
2 Timôtéô	55	1	4	Ngo ngéda me nhoñol gwiiha gwoñ, me gwé ngôñ keñi i tehe we inyu boñ le me ba nyonok ni maséé.
2 Timôtéô	55	1	5	Inyule me nhoñol hémle yoñ i i gwé bé bihéñba, yon majô moñ Lôis ni nyuñ Euniké ba bi bôk ba bana; me yé ki nkwoog nkaa le yon yak we u gwé.
2 Timôtéô	55	1	6	Inyu njom ini yon me mbigdaha we le, i likébla Nyambe a bi ti we ngéda me bi kéhi moo mem i ngii yoñ, lôñôs jo kiki hié.
2 Timôtéô	55	1	7	Inyule Nyambe a bi ti bé bés miñem mi mbomb, ndi miñem mi ngui, mi gwéha ni mi liyi hek pék.
2 Timôtéô	55	1	8	Jon u wo bañ nyuu i bok mbôgi inyu Nwet wés, to inyu yem, me mut mok inyu yé; ndi yoñ ngaba i nok ndutu inyu ñañ nlam, u bôdlak ngui Nyambe ñem.
2 Timôtéô	55	1	9	A bi tohol bés, a sébél ki bés lôñni nsébla mpubi, ha inyu minson nwés bé, ndi inyu bitééne gwé nyemede lôñni konangoo i mbuma ñañ. A bi ti bés konangoo ini ni njel Kristô Yésu ibôdôl kôba ni kwañ;
2 Timôtéô	55	1	10	ndi nano, i ntibil yaga nene ni njel masoola ma Ntohol wés Kristô Yésu, nu a bi mélés nyemb, a yeelene bés ni njel ñañ nlam lelaa di nla bana niñ lôñni nyuu i i mbol bé.
2 Timôtéô	55	1	11	Inyu ñañ nlam u won me bi téébana ñañal ni ñôma ni nniiga.
2 Timôtéô	55	1	12	Inyu hala nyen yak me me nok ndutu inyu mam mana, ndi me nwo bé me nyuu. Inyule me nyi Nu me nhémle, me yé ki nkwoog nkaa le i jam me bi bôdôl nye ñem ndi me ti nye, a nla tééda jo letee ni kel i.
2 Timôtéô	55	1	13	Téñbe yaga ni ndémbél i bibañga bi maliga, yon u bi nôgôl i meeni lôñni hémle ni gwéha bi bi nlôl ikété adna ni Kristô Yésu.
2 Timôtéô	55	1	14	I jam ba bi bôdôl we ñem ndi ba ti we, tibil yaga tééda jo ni njel mbuu mpubi u u nyééne ikété yés.
2 Timôtéô	55	1	15	U nyi jam lini: Le bôt bobasôna nyoo i pes mbok Asia ba bi kôm me mbus, yak Figélô bo Hérmôgéne.
2 Timôtéô	55	1	16	Nwet a kônôl ndap lihaa i Ônésifôrô ngoo, inyule a bé béna ti me makénd; minsañ nwem mi mut mok mi bi wéha bé to nye nyuu.
2 Timôtéô	55	1	17	Ndi ngéda a bé i Rôma, a bi yéñ me ibabé waa, a léba me.
2 Timôtéô	55	1	18	Nwet a boñ le a léba konangoo i nlôl yak Yéhôva i kel i. Yak we u ntibil yaga yi minson nwominsôna a bi gwel i Éfésô.
book	book_id	chapter	verse	text
2 Timôtéô	55	2	1	Jon we, a man wem, kenek ni bisu i yoñ ngui ikété konangoo i mbuma ñañ i i yé ikété adna ni Kristô Yésu;
2 Timôtéô	55	2	2	i mam u bi nôgôl i meeni, mam le ngandak mbôgi i bi nit, niiga mo bôt ba maliga, yak bo b’a bana ngap i nya i kôli inyu niiga bape.
2 Timôtéô	55	2	3	Kiki bañga sônda i Kristô Yésu, yoñ ngaba i hônba mandutu.
2 Timôtéô	55	2	4	Mut to wada nu a ngwel nson sônda a njôp bé i manyuñga ma niñ, le ndi a lémél nu a bi yoñ nye i nson sônda.
2 Timôtéô	55	2	5	Yak i mintuk, i mut a nyoñ ngaba i mintuk, a nkôhna bé ntut handugi le a mélés mintuk inoñnaga ni matiñ.
2 Timôtéô	55	2	6	Nsalwom nu a ntumbba ni nson nyen a nlama ba mut bisu i kôhna ngaba matam.
2 Timôtéô	55	2	7	Hek pék ngéda yosôna munu jam me yé i kal; Nwet a’ ti we nogna ikété mam momasôna.
2 Timôtéô	55	2	8	Bigda le Yésu Kristô a bi tuge ikété bawoga, a bak mu mbôda David, inoñnaga ni ñañ nlam me ñañal,
2 Timôtéô	55	2	9	inyu ñañ nlam nyen me yé i nôgôl ndutu, me bak ki i mok kiki ntonba. Ndi bañga i Nyambe i ta bé nkañak.
2 Timôtéô	55	2	10	Inyu njom ini nyen me nkônde hônba mam momasôna inyu mimpohlak, le ndi yak nwo mi pam i kôhna tohi i i yé ni njel Kristô Yésu, lôñni lipém li boga.
