book	book_id	chapter	verse	text
2 Tésalônika	53	1	1	Me Paul, Silvanô lôñni Timôtéô, di ntilna likoda li bôt ba Tésalônika li li yé ikété adna ni Nyambe Tata wés lôñni Nwet le Yésu Kristô:
2 Tésalônika	53	1	2	Konangoo i mbuma ñañ lôñni nsañ bi nlôl yak Nyambe Tata lôñni Nwet le Yésu Kristô bi ba ni bé.
2 Tésalônika	53	1	3	A lôk kéé, di yé nyégsaga i ti Nyambe mayéga inyu nan ngéda yosôna. Hala a kôli inyule hémle nan i nkônde hol, hol ni hol, yak gwéha i hiki wada nan i keñep inyu nuu numpe.
2 Tésalônika	53	1	4	Inyu hala nyen bésbomede di nkônôl bé maséé ikété makoda ma Nyambe inyu hônba nan ni hémle nan ikété ndééñga yosôna lôñni mandutu ni yé i kôhna.
2 Tésalônika	53	1	5	Hala a ñunda le mbagi i Nyambe i téé sép, inyu mbagi i nyen ni bi éña le ni kôli jôp i Ane Nyambe, inyu yo nyen ni yé toi i kuhul mandutu.
2 Tésalônika	53	1	6	Inyule ni Nyambe, hala a téé yaga sép le yak nye a lona njiiha i ngii bôt ba nlona bé njiiha.
2 Tésalônika	53	1	7	Ndi bé ba ni nkôhna njiiha n’a bana hogbe lôñni bés i masoola ma Nwet le Yésu, ngéda a nlôl i ngii lôñni mimpémba nwé mi biañgel,
2 Tésalônika	53	1	8	ikété lindômbôô li hié, ngéda a nlona mapuna i ngii bôt ba nyi bé Nyambe ni ba ba nôgôl bé ñañ nlam inyu Nwet wés Yésu.
2 Tésalônika	53	1	9	Bo yaga bon b’a kôhna mbagi kogse i tjiba i boga, inyu héya bo i bisu bi Nwet ni i bisu bi lipém li ngui yé;
2 Tésalônika	53	1	10	i ngéda Nwet wés a’ lo inyu kôhna lipém lôñni bapubhaga bé, i bôt bobasôna ba ñunda le ba gwé hémle, kiki yak bé ni bi hémle ngéda di bi bôgôl bé mbôgi, b’a béñge nye i kel i, ba bak nhelek.
2 Tésalônika	53	1	11	Inyu jam li yaga nyen di nsoohe hiki ngéda inyu nan, le Nyambe wés a añ bé kiki bôt le ba kôli ni nsébla wé; ni le ni ngui yé, a boñ i loñge yôsôna i nlémél nye i nya i yôni, a yônôs ki i mam hémle nan i ntinde bé i boñ.
2 Tésalônika	53	1	12	Hala a yé inyu boñ le jôl li Nwet wés Yésu li kôhna lipém ni njel nan, ni le yak bé ni kôhna lipém ikété adna ni nye inoñnaga ni konangoo i mbuma ñañ i Nyambe wés ni i Nwet le Yésu Kristô.
book	book_id	chapter	verse	text
2 Tésalônika	53	2	1	Ndi, a lôk kéé, inyu ngéda Nwet wés Yésu Kristô a mba ha, ni ngéda d’a kodba lôñni nye, di mbat bé
2 Tésalônika	53	2	2	le ni pala bañ yôm ikété mahoñol manan, ni pala bañ to sehla inyu lipôdôl li li nene wengoñle li nlôl yak Nyambe, to nwin bôt ba nlegel, to kaat i i nene wengoñle i nlôl i béhni, bi kalak le hilo hi Yéhôva hi yé ha.
2 Tésalônika	53	2	3	Mut to wada a yumus yaga bañ bé to ndék, inyule i hilo hi hi’a lo bé handugi le batjañgbene Nyambe ba bôk ndugi ba lo, yak mut liyanmbén a yeli, nyen a’ tjiba.
2 Tésalônika	53	2	4	A ntelep ikolba hiki yom ba nsébél nyambe, tole hiki yom bôt ba mbégés, a nyagbene ki gwo, inyu hala nyen a nyén ikété témpel Nyambe, a undga i mbamba le nyemede a yé ngim nyambe.
2 Tésalônika	53	2	5	Baa ni mbigda bé le ngéda me bé me ngi yii lôñni bé, me bé béna kal bé i mam mana?
2 Tésalônika	53	2	6	Ndi nano, ni nyi nu a yé i kéñ mut liyanmbén njel, kayéle a’ yeli ndigi i ntéak wé ngéda.
2 Tésalônika	53	2	7	I yé maliga le i liyanmbén lini li mal bôdôl nson wé bisôsôli, ndi ndik letee nu a yé i kéñ njel nano a nyodi.
