book	book_id	chapter	verse	text
2 Yôhanes	63	1	1	Me mañ mut, me ntilna mpohlak muda lôñni bon bé ba me ngwés toi, ha ndik metama bé, ndi yak bôt bobasôna ba bi pam i yi maliga;
2 Yôhanes	63	1	2	di ngwés bé inyu maliga ma ma nyégle ikété yés, mon m’a ba ki lôñni bés i boga ni boga.
2 Yôhanes	63	1	3	Nyambe Tata, ni Yésu Kristô Man Tata, ba ga ti bés konangoo i mbuma ñañ, ni konangoo, lôñni nsañ; ba ga ti ki bés maliga, ni gwéha.
2 Yôhanes	63	1	4	Me nkon maséé ngandak inyule me nkoba le bon boñ bahogi ba nkil ikété maliga, inoñnaga ni mbén Tata a bi ti bés.
2 Yôhanes	63	1	5	Jon nano, a muda, me nyemhe we le di gwéhna bés ni bés. (Me ntilna bé we mbén mondo, ndi mbén di bi kôhna ibôdôl i bibôdle.)
2 Yôhanes	63	1	6	Gwéha ini le: Di ke ni bisu i hiôm inoñnaga ni mambén mé. Mu mbén ini nyen di nlama ke ni bisu i hiumul, ndik kiki di bi nok ibôdôl i bibôdle.
2 Yôhanes	63	1	7	Inyule ngandak bôt ba malôga i mal nene ikété nkoñ ’isi, i bôt ba neebe bé le Yésu Kristô a bi lo ni nyuu minsôn. Bon ba yé mut malôga ni nkolba-Kristô.
2 Yôhanes	63	1	8	Yoña yihe ni bébomede, le ni nimis bañ matam malam ma minson di bi gwel ipôla nan, ndi le ni kôhna nsaa u yôni.
2 Yôhanes	63	1	9	I mut a nke ni bisu i noñ njel yé nyemede, ndi a téñbe bé ni biniigana bi Kristô, wee a gwé bé Nyambe. I mut a ntéñbe ni biniigana bini, nyen a gwé Tata ni Man.
2 Yôhanes	63	1	10	Ibale mut a nlo i bééni, ndi a lona bé bé i biniigana bini, ni leege bañ nye ikété mandap manan, to yéga ni yéga bañ nye.
2 Yôhanes	63	1	11	Inyule i mut a nyéga nye, wee a nyoñ ngaba mu minson nwé mimbe.
2 Yôhanes	63	1	12	To hala kiki me gwé ngandak mam i tilna bé, me nsômbôl bé boñ hala ni lipep lôñni tinti, ndi me mbot ñem le m’a lo nyoo bééni inyu pot lôñni bé i mbombom, inyu boñ le maséé manan ma ba i nya i yôni.
2 Yôhanes	63	1	13	Bon ba manyuñ nu muda, nu a yé mpohlak, ba nyéga we.
