book	book_id	chapter	verse	text
Efésô	49	1	1	Me Paul, ñôma nu Kristô Yésu ni njel sômbôl i Nyambe, me ntilna bapubhaga ba ba yé i Éfésô, ba ba ntéñbe ni hémle ikété adna ni Kristô Yésu:
Efésô	49	1	2	Konangoo i mbuma ñañ ni nsañ bi nlôl yak Nyambe Tata wés ni Nwet le Yésu Kristô bi ba lôñni bé.
Efésô	49	1	3	Bibégés bi ba ni Nyambe, Isañ Nwet wés Yésu Kristô, inyule a bi sayap bés ni bisai bi mbuu gwobisôna nyoo ngii ikété adna ni Kristô,
Efésô	49	1	4	hala kiki a bi pohol bés i ba ikété adna ni nye ilole nkoñ ’isi u mbôdôl, le di unda gwéha, di ba ki bapubhaga ngi liton li mahindi i bisu gwé.
Efésô	49	1	5	Inyule a bi pohol bés i bisu bi ngéda le di ba inyu yé nyemede kiki bon ngwalakbel ni njel Yésu Kristô inoñnaga ni ngôñ yé lôñni sômbôl yé,
Efésô	49	1	6	le ndi a kôhna bibégés inyu lipém li konangoo yé i mbuma ñañ a bi ti bés ni loñgeñem ni njel nugwéha wé.
Efésô	49	1	7	Ni njel matjél ma nugwéha wé nyen Nyambe a bi saa binoñ, le ndi bés di koblana, ñ, di kôhna ki nwéhél i bibéba gwés, inoñnaga ni lingwañ li konangoo yé i mbuma ñañ.
Efésô	49	1	8	A bi boñ le i konangoo i mbuma ñañ ini i bôl i ngii yés ikété pék ni nogna yosôna,
Efésô	49	1	9	hala kiki a bi yis bés jimb lipubi li sômbôl yé. I jimb lini li yé inoñnaga ni ngôñ yé nyemede a bi téé
Efésô	49	1	10	le i ngeñ ntéak wé ngéda u nyon, ngim liégaga li mam i kot mam momasôna ikété Kristô, i mam ma yé ngii lôñni mam ma yé ’isi. Ñ, ikété Kristô,
Efésô	49	1	11	ni nye nyen di yé ikété adna; di bi tééba le di ba bakôdôlbum, di pohlana ki i bisu bi ngéda inoñnaga ni bitééne bi nu a nyônôs mam momasôna kiki a mal kit inoñnaga ni sômbôl yé,
Efésô	49	1	12	le ndi a gwélél bés ba di bi bôk di bôdôl Kristô ñem inyu bibégés bi lipém jé.
Efésô	49	1	13	Ndi yak bé ni bi bôdôl nye ñem ngéda ni bi nok bañga i maliga, ñañ nlam inyu tohi nan. Ni njel yé ki nyen ngéda ni bi hémle, Nyambe a bi band bé ni njel mbuu mpubi a bi bôn,
Efésô	49	1	14	won u yé bibep bi bi bôk tiba inyu bum yés, hala a yé inyu kobol litén li Nyambe nyemede ni njel binoñ, inyu lipém ni bibégés gwé.
Efésô	49	1	15	Inyu hala nyen yak me, ibôdôl nu me bi nok i hémle ni gwé inyu Nwet le Yésu lôñni gwéha ni ñunda inyu bapubhaga bobasôna,
Efésô	49	1	16	me ma waa bé ti mayéga inyu nan. Me nke ki ni bisu i sima bé ikété masoohe mem,
Efésô	49	1	17	le Nyambe nu Nwet wés Yésu Kristô, Tata nu lipém, a ti bé mbuu u pék ni u masoola kayéle ni pam i tibil yi nye.
Efésô	49	1	18	A bi boñ le mis ma miñem minan ma tehe mapubi, le ndi ni yi inyu imbe botñem a bi séble bé, ni limbe lingwañ li lipém a ntééda kiki ngababum inyu bapubhaga,
Efésô	49	1	19	ni lelaa bikeñi bi lipémba jé bi nyamb mayoo inyu bés bahémle. Hala a yé inoñnaga ni nson u lipémba li ngui yé,
Efésô	49	1	20	won a bi unda inyu Kristô ngéda a bi tugul nye ikété bawoga, a yis nye i woo wé walôm nyoo ngii,
Efésô	49	1	21	i ngingii bangomin bobasôna, ni baane bobasôna, ni ngui yosôna, ni bet bobasôna, lôñni i ngii hiki jôl ba nsima, ha ndigi munu nkoñ ’isi unu bé, ndi yak uu u nlo.
Efésô	49	1	22	A bi suhus ki mam momasôna isi makôô mé, a téé ki nye ñéga i ngii mam momasôna ikété likoda
Efésô	49	1	23	li li yé nyuu yé, li bak nyonok ni bilem gwé; nye ki nyen a nyônôs mam momasôna ikété bôt bobasôna.
book	book_id	chapter	verse	text
Efésô	49	2	1	Jam lipe ki, Nyambe a bi témbna bé i niñ, to hala kiki ni bé bawoga ikété mahôha ni bibéba binan,
Efésô	49	2	2	mu nyen ni bé hiumul ngéda kôba inoñnaga ni maboñok ma nkoñ ’isi unu, inoñnaga ni ñane nu a gwé ngui i énél mbebi, hala wee mbuu u u nsal nano ikété bon ba ngimanôgla.
Efésô	49	2	3	Ñ, ipôla yap nyen yak bésbobasôna di bé hiumul kôba inoñnaga ni minheña mi minsôn nwés, di boñok sômbôl i minsôn ni i mahoñol més, di bak bôt ba kôli ni hiun hi Nyambe ibôdôl i ligwéé kiki bana bôt bape.
Efésô	49	2	4	Ndi Nyambe a yé lingwañ ikété konangoo yé; inyu gwéha keñi a bi gwés bés,
Efésô	49	2	5	a bi témbna bés i niñ lôñ yada ni Kristô, yak ngéda di bé nwok ikété mahôha més (ni bi tohlana ni njel konangoo i mbuma ñañ).
