book	book_id	chapter	verse	text
Filipi	50	1	1	Paul ni Timôtéô, minkol mi Kristô Yésu, di ntilna bapubhaga bobasôna ba ba yé ikété adna ni Kristô Yésu i Filipi, lôñni babéñge likoda ni bahôla nson:
Filipi	50	1	2	Konangoo i mbuma ñañ ni nsañ bi nlôl yak Nyambe Tata wés lôñni yak Nwet le Yésu Kristô bi ba ni bé.
Filipi	50	1	3	Me nti Nyambe wem mayéga hiki ngéda me nhoñol bé
Filipi	50	1	4	ikété masoohe mem momasôna inyu bébobasôna. Me nyemhe hiki ngéda ni maséé,
Filipi	50	1	5	inyu ngaba ni bi yoñ inyu ñañ nlam ibôdôl kel bisu letee ni nano.
Filipi	50	1	6	Inyule me yé nkwoog nkaa ni jam lini le: Nyambe nu a bi bôdôl loñge nson i bééni a’ kena ki wo ni bisu ipam lisuk letee ni i hilo hi Kristô Yésu.
Filipi	50	1	7	Me kôli yaga hoñol hala inyu nan bébobasôna, inyule ni yé ikété ñem wem, bé ba ni nyoñ ngaba ni me i konangoo i mbuma ñañ ngéda me yé i ndap mok, ni ngéda me nsôñ ñañ nlam i bisu bi mbén inyu bana kunde i tjam wo.
Filipi	50	1	8	Inyule Nyambe a yé me mbôgi le me gwé ngôñ i tehe bébobasôna, ni le i gwéha me gwé inyu nan i yé kiki i Kristô Yésu.
Filipi	50	1	9	Inyu jam lini nyen me nke ni bisu i soohe le, gwéha nan i kônde keñep, keñep ni keñep, lôñni bañga yi ni nogna i yôni;
Filipi	50	1	10	le ndi ni wan mambe mam ma nlôôha ba nseñ, inyu boñ le ni ba ngi nsohi ni le ni ba bañ ngok baagene inyu bôt bape letee ni i hilo hi Kristô;
Filipi	50	1	11	ni le ni ba nyonok ni litam li telepsép li li nlo ni njel Yésu Kristô, kayéle Nyambe a kôhna lipém ni bibégés.
Filipi	50	1	12	Nano a lôk kéé, me nsômbôl le ni yi le i mam ma mpémél me ma mboñ le ñañ nlam u ke ni bisu,
Filipi	50	1	13	kayéle ntôñ bisônda wonsôna u u ntat Kaisa ni bini bisônda bipe gwobisôna bi nyi le me yé i mok inyu Kristô.
