book	book_id	chapter	verse	text
Filémôn	57	1	1	Me Paul, mut mok inyu Kristô Yésu, ni Timôtéô mankéé wés, di ntilna Filémôn nu a yé so ngwelnson wés nu gwéha,
Filémôn	57	1	2	ni Apia mankéé wés nu muda, ni Arkipô nu a yé sônda i Kristô lôñ yada ni bés, ni likoda li yé i ndap yoñ:
Filémôn	57	1	3	Konangoo i mbuma ñañ ni nsañ bi bi nlôl ni Nyambe Tata wés yak ni Nwet le Yésu Kristô bi ba ni bé.
Filémôn	57	1	4	Hiki ngéda, me nti Nyambe mayéga ngéda me nsima we ikété masoohe mem,
Filémôn	57	1	5	hala kiki me nkônde nok ngan i hémle yoñ ni gwéha u gwé inyu Nwet le Yésu ni inyu bapubhaga bobasôna.
Filémôn	57	1	6	Me nsoohe le hémle i i ñat we ni bahémle bape i tinde we i neebe hiki loñge jam di nkôhna ni njel Kristô.
Filémôn	57	1	7	Inyule me bi kôhna ngandak maséé ni hogbe ngéda me bi nok ngan i gwéha yoñ, a mankéé, inyule miñem mi bapubhaga mi bi témb mi bana ngui ni njel yoñ.
Filémôn	57	1	8	Inyu njom ini nyen, to hala kiki me gwé kunde keñi i i nlôl ni Kristô i ti we oda le u boñ jam li kôli,
Filémôn	57	1	9	me nsoohe we nsoohege inyu gwéha, inyule me Paul, me yé mañ mut, me yé ki mut mok hanano inyu Kristô Yésu.
Filémôn	57	1	10	Me nsoohe we inyu man wem Ônésimô. Me bi yila kiki isañ ikété ndap mok.
Filémôn	57	1	11	I ngéda bisu, a bééne bé we nseñ to ndék, ndi nano a yéne we ni me nseñ.
Filémôn	57	1	12	Me yé i timbis nye i weeni, ñ, nye yaga nu me ngwés ngandak.
Filémôn	57	1	13	Ngôñ yem i yé le me tééda nye ipañ yem, inyu boñ le a gwélél me nson kiki wemede u bak le u gwélél me nson ntel wonsôna me yé i ndap mok inyu ñañ nlam.
Filémôn	57	1	14	Ndi me nsômbôl bé boñ jam jo ki jo ibabé i bat we kunde, inyu boñ le u bôñôl bañ me i loñge jam ini wengoñle u yé nyégsaga, ndi ni ñem woñ wonsôna.
Filémôn	57	1	15	Bebek le inyu hala yaga nyen a bi bagla ni we inyu ndék ngéda, le ndi a témb i weeni i boga ni boga,
Filémôn	57	1	16	kiki nkol ha bé, ndi iloo yaga nkol, kiki mankéé nu gwéha. Me ngwés nye ngandak, yak we w’a lôôha gwés nye kiki nkol ni kiki mankéé i Nwet.
Filémôn	57	1	17	Jon, ibale u nyoñ me kiki liwanda joñ, leege nye ni gwéha wengoñle memede nu.
Filémôn	57	1	18	Ndi ibale a bi boñ we béba yo ki yo, tole u mbédél nye pil wo ki wo, bat me wo.
Filémôn	57	1	19	Me Paul nyen me yé i tilna we ni woo wem memede le m’a saa i pil u, ndi u nyi le yak me me mbat we pil nkeñi kiyaga.
Filémôn	57	1	20	Ñ, a mankéé, soho ti me mahôla mana i jôl li Nwet; lédés me ñem i jôl li Kristô.
Filémôn	57	1	21	Me yé nkwoog nkaa le w’a nôgôl me, jon me yé i tilna we, me yik le w’a boñ Yak iloo kiki me nkal.
Filémôn	57	1	22	Ndi kôôbana ki me homa liyééne inyule me mbot ñem le ni njel masoohe manan, m’a témb i bééni.
Filémôn	57	1	23	Épafras, nu a yé mut mok kiki me inyu Yésu Kristô, a nyéga we,
Filémôn	57	1	24	yak Markô, Aristarkô, Démas ni Lukas, ba ba yé baso bagwelnson bem.
Filémôn	57	1	25	Konangoo i mbuma ñañ i Nwet le Yésu Kristô i ba ni mahoñol malam ni gwé.
