book	book_id	chapter	verse	text
Galatia	48	1	1	Me Paul, me yé ñôma, hala a bi lôl bé me ni njel bôt ba binam, mut binam bé to nyen a bi téé me; ndi hala a bi lôl me ni njel Yésu Kristô lôñni Nyambe Tata, nu a bi tugul nye ikété bawoga;
Galatia	48	1	2	me ni lôk kéé yosôna i i yé lôñni me, di ntilna makoda ma Galatia:
Galatia	48	1	3	Konangoo i mbuma ñañ ni nsañ bi nlôl yak Nyambe Tata wés ni Nwet le Yésu Kristô bi ba ni bé.
Galatia	48	1	4	A bi ti nyemede inyu bibéba gwés le ndi a tohol bés munu béba nkoñ ’isi unu inoñnaga ni sômbôl i Nyambe wés ni Tata wés;
Galatia	48	1	5	lipém li ba ni nye i boga ni boga. Amen.
Galatia	48	1	6	Hala a nhélés me le Nu a bi sébél bé ni konangoo i mbuma ñañ i Kristô, ni mpala nwas le ba tinde bé i kôm nye mbus inyu noñ ntén ñañ nlam umpe.
Galatia	48	1	7	Ñañ nlam umpe u ta bé; ndi bahogi ikété nan ba nyumus bé, ba sômblak ki heñel ñañ nlam inyu Kristô.
Galatia	48	1	8	Ndi to ibale añgel yon i nlôl i ngii, tole wada ikété yés nyen a ñañle bé ñañ nlam u yé mahéñha ni ñañ nlam di bi añle bé, a ba ntiihege.
Galatia	48	1	9	Kiki di mbôk di kal, me ntiimba ki kal hala nano: Nu ni nu a ñañle bé ñañ nlam u u yé mahéñha ni u ni bi neebe, a ba ntiihege.
Galatia	48	1	10	Ni maliga, baa bôt ba binam bon me nyéñ kwés nkaa nano, tole Nyambe? Tole bôt bon me yé noode lémél? Ibale me lémlak bôt, ngo ki me ta bé nkol u Kristô.
Galatia	48	1	11	Inyule me ngwés yis bé, a lôk kéé, le i ñañ nlam me bi añle bé, u nlôl bé ni bôt ba binam;
Galatia	48	1	12	inyule mut binam bé nyen a bi ti me wo, me bi nigil bé to wo, ndi Yésu Kristô nyen a bi soolene me wo.
Galatia	48	1	13	Ibabé nkaa, ni bi nok lelaa me bé niñ i ngéda kôba ikété base Lôk Yuda, le me bé tééñga likoda li Nyambe iloo hihéga, me noodege tjé jo;
Galatia	48	1	14	me bé boñ ngandak mahol ikété base Lôk Yuda iloo bisega gwem mukété litén jem, hala kiki me bééna makénd iloo hihéga inyu bilem bi loñ bi basañ bem.
Galatia	48	1	15	Ndi Nyambe nu a bi héya me ikété libum li ini, a sébél ki me ni njel konangoo yé i mbuma ñañ, i ngéda a bi tehe loñge
Galatia	48	1	16	i solol Man wé ni njel yem, le ndi me añle biloñ bipe ñañ nlam inyu yé, me bi pala bé ke i bat mut binam nye ki nye maéba;
Galatia	48	1	17	me bi bet bé to i Yérusalem inyu boma i bôt ba bi yila baôma ilole me nyila ñôma, ndi me bi ke i Arabia, i mbus me témb i Damaskô.
Galatia	48	1	18	I mbus nwii maa, me bi bet i Yérusalem inyu yuuga Kéfa, me yén ki lôñni nye jôm li dilo ni ditan.
Galatia	48	1	19	Ndi me bi tehe bé ñôma to wada ikété bana baôma bape, handugi Yakôbô, manyañ Nwet.
Galatia	48	1	20	Inyu mam me yé i tilna bé nano, me nkal bé maliga i bisu bi Nyambe le me ntembee bé.
Galatia	48	1	21	I mbus ha, me ke i minkoñ mi Siria ni mi Kilikia.
Galatia	48	1	22	Ndi makoda ma Yudéa ma ma bé ikété adna ni Kristô ma bé yi bé me.
Galatia	48	1	23	Ma bé béna nok ndik bôt bape ba nkal le: “I mut a bé tééñga bés kôba, nano a yé i añal ñañ nlam inyu hémle a bé yéñ tjé kôba.”
Galatia	48	1	24	Jon ma bi bôdôl ti Nyambe lipém inyu yem.
book	book_id	chapter	verse	text
Galatia	48	2	1	I mbus jôm li nwii ni mina, me bi témb me bet i Yérusalem lôñni Barnabas, me ke ki lôñni Titô.
Galatia	48	2	2	Me bi ke inyule me bi kôhna ngim masoola le me bet nyoo, me toñle ki bo i ñañ nlam me yé i añal ikété biloñ bipe. Ndi me bi boñ bé hala i mbamba, ndik i bisu bi bôt likoda li nlôôha ti lipém, inyu boñ le me ba nkwoog nkaa le me tumbbaga bé ni nson, tole me bi tumbba bé to ni nson yañga.
Galatia	48	2	3	Ndi to Titô nu a bé lôñni me, a bi ba bé nyégsaga i kweeba, to hala kiki a yé man Grikia.
Galatia	48	2	4	Ndi hala a bi lona mindañ inyule lôk kéé i bitembee i bi sooma ipôla yés inyu hes kunde di yé maséé i bana ikété adna ni Kristô Yésu, le ndi ba yilha yaga bés minkol;
Galatia	48	2	5	di bi nôgôl bé bo to ndék, to inyu ndék ngéda yaga, inyu boñ le maliga ma ñañ nlam ma ke ni bisu i ba ikété nan.
Galatia	48	2	6	Ndi inyu bôt ba nene kiki bañga bôt (to ibale ba bé mimbe mintén mi bôt kôba, hala a nkal bé me to jam, inyule Nyambe a nkéés bé mut i bitéé bi mis), i bôt likoda li nlôôha ti lipém ba bi lona bé me jam li mondo.
Galatia	48	2	7	Ndi ngéda ba bi tehe le men me bi kôhna bisai i añle bôt ba ta bé nkweebaga ñañ nlam, nlélém kiki Pétrô a bi kôhna bisai inyu bôt ba yé nkweebaga
Galatia	48	2	8	(inyule nu a bi ti Pétrô ngui le a gwel nson ñôma inyu bôt ba yé nkweebaga, nyen a bi ti yak me ngui inyu bôt ba biloñ bipe)
Galatia	48	2	9	ndi ngéda ba bi yimbe le konangoo i mbuma ñañ i bi tina me, Yakôbô, Kéfa ni Yôhanes ba ba nene kiki mbiñ bôt ikété likoda, ba bi ti Barnabas lôñni me woo walôm inyu unda le ba nit bés, kayéle bés di bé lama ke i biloñ bipe, ndi bo ba bé lama ke yak bôt ba yé nkweebaga.
Galatia	48	2	10	Ba kal ndik bés le di hoñlak diyeyeba, me bi ligip ki i boñ hala.
Galatia	48	2	11	Ndi ngéda Kéfa a bi lo i Antiôkia, me bi kolba nye i mbombom inyule i bé ntiik le i jam a bi boñ li bé libe.
