book	book_id	chapter	verse	text
Kôlôsé	51	1	1	Me Paul, ñôma nu Kristô Yésu ni njel sômbôl Nyambe, ni Timôtéô mankéé wés,
Kôlôsé	51	1	2	di ntilna bapubhaga ni lôk kéé i Kôlôsé i i ntéñbe ikété adna ni Kristô: Konangoo i mbuma ñañ ni nsañ bi nlôl yak Nyambe Tata wés bi ba lôñni bé.
Kôlôsé	51	1	3	Di nti Nyambe mayéga, Isañ Nwet wés Yésu Kristô, ngéda yosôna di nsoohe inyu nan,
Kôlôsé	51	1	4	hala kiki di bi nok inyu hémle ni nhémle Kristô Yésu ni inyu gwéha ni gwé inyu bapubhaga bobasôna,
Kôlôsé	51	1	5	inyu botñem Nyambe a bi téédana bé nyoo ngii. Ni bi bôk ni nok i botñem ini ni njel nwin u maliga u ñañ nlam
Kôlôsé	51	1	6	u u bi pam i bééni. Ndik kiki ñañ nlam u yé num matam, u ntjama ki ikété nkoñ ’isi wonsôna; hala nyen u yé ki i boñ i bééni ibôdôl i kel ni bi nok, ni tibil ki yi konangoo i mbuma ñañ i Nyambe ikété maliga.
Kôlôsé	51	1	7	I jam lini jon ni bi nigil yak so nkol wés nugwéha le Épafras, nu a yé ki mut hémle ni ngwélél Kristô inyu yés.
Kôlôsé	51	1	8	Nye ki nyen a bi yis bés gwéha nan i pes mbuu.
Kôlôsé	51	1	9	Inyu hala ki nyen, ibôdôl i kel di bi nok i mam mana, kekikel di nwaa bé soohe inyu nan, di badak le ni ba nyonok ni bañga yi i sômbôl yé lôñni bañga pék ni nogna i mam ma mbuu,
Kôlôsé	51	1	10	inyu boñ le ni hiôm i nya i kôli ni Yéhôva le ndi ni lémél nye i nya i yôni, ni kenek ni bisu i num matam ikété hiki loñge nson, ni holok ikété bañga yi i Nyambe;
Kôlôsé	51	1	11	ni le ni kôhna ngui lôñni lipémba jolisôna inoñnaga ni lipém li ngui yé, le ndi ni la hônba i nya i yôni lôñni wongut ni maséé,
Kôlôsé	51	1	12	ni tinak Tata mayéga, nu a bi boñ le ni ba bôt ba kôli bana ngaba mu bum i bapubhaga ba ba yé ikété mapubi.
Kôlôsé	51	1	13	A bi tohol bés isi ane jiibe, a jubus bés ikété ane i Man wé nu gwéha;
Kôlôsé	51	1	14	inyu yé nyen di gwé kobla ni njel binoñ, nwéhél i bibéba gwés.
Kôlôsé	51	1	15	A yé pôna i Nyambe nu a nene bé, mbôkgwéé ikété bihégél gwobisôna;
Kôlôsé	51	1	16	inyule ni njel yé nyen mana mam mape momasôna ma bi héga i ngii ni hana ’isi, mam ma nene ni mam ma nene bé, to i ba yaga biyééne bi ane, to baane, to bangomin, to baénél. Mam mape momasôna ma bi héga ni njel yé, ma héga ki inyu yé.
Kôlôsé	51	1	17	Jam lipe ki, a bé niñ ilole mana mam mape momasôna ma mba, lôñni njel yé ki nyen mam mape momasôna ma bi héga,
Kôlôsé	51	1	18	a yé ño u nyuu, hala wee likoda; a yé bibôdle, mbôkgwéé ikété bawoga, le ndi a yila nu bisu ikété mam momasôna;
Kôlôsé	51	1	19	inyule hala a bi lémél Nyambe i boñ le a ba nyonok ni mam momasôna,
Kôlôsé	51	1	20	ni njel yé nyen Nyambe nyemede a nsañgla ni mana mam mape momasôna, to mam ma yé ’isi, to mam ma yé i ngii, hala kiki a bi lona nsañ ni njel matjél a bi kôp i kék njiiha.
Kôlôsé	51	1	21	Ni maliga, bé ba ni bé mbaglaga, ni bak baoo inyule ni bé hoñol minson mimbe,
Kôlôsé	51	1	22	nano Nyambe nyemede a mal sañgla lôñni bé ni njel nyuu minsôn i nu a bi wo, le ndi a téé bé i bisu gwé, ni bak bapubhaga, ngi mahindi mo ki mo, ni tinak bé to pôla le ba ôm bé nsohi,
Kôlôsé	51	1	23	ibale ni ntéñbe ni hémle, ni bak ni umi siñ siñ i ngii hikuu, ibabé i piñgla, to ke haa ni botñem i ñañ nlam ni bi nok, u ba bi añle bihégél gwobisôna hana nkoñ ’isi. Inyu ñañ nlam u nyen me Paul, me bi yila ngwélél.
Kôlôsé	51	1	24	Nano me nkon maséé ni mandutu mem inyu nan, ndi me nôgda le me yé ngi kôhna njiiha i Kristô i nya i yôni munu minsôn nwem. I njiiha ini y’a ba loñge inyu nyuu Kristô, hala wee likoda.
Kôlôsé	51	1	25	Me bi yila ngwélél nu likoda lini inoñnaga ni nson kindak Nyambe a bi ti me, le me añal bañga i Nyambe i nya i yôni,
Kôlôsé	51	1	26	yon i yé jimb lipubi li li bé li sôli ibôdôl i tjai di kôba ni ibôdôl i mangéda ma kôba. Ndi nano, li nyeli inyu bapubhaga bé bobasôna;
