book	book_id	chapter	verse	text
Lukas	42	1	1	Kiki ngandak i bi boñ biliya i kot ni tila miñañ mi mam di nhémle,
Lukas	42	1	2	ndik kiki i bôt ba bi tehe mo ni mis ibôdôl i bibôdle ba bi añle bés mo, ba legel ki bés nwin di bi nok,
Lukas	42	1	3	a Nunkeñi Téôfilô, yak me me nyoñ bitelbene i tilna we ñañ unu manoñ manoñ inyule me bi tibil wan mam momasôna ni maliga ibôdôl i bibôdle,
Lukas	42	1	4	inyu boñ le u ba nkwoog nkaa le i mam ba bi niiga we ma yé ntiik.
Lukas	42	1	5	I dilo di Hérôdé, kiñe Yudéa, prisi yada i bééna jôl le Sakaria, i bak ikété ntôñ u biprisi u Abiya. Nwaa wé a bé wada ikété bingond bi Arôn, jôl jé li bé le Élisabet.
Lukas	42	1	6	Bo iba ba bé ba téé sép i bisu bi Nyambe, ba bak ngi nsohi inyule ba bé noñ mambén ni matéñ ma Yéhôva momasôna.
Lukas	42	1	7	Ndi ba bééna bé man inyule Élisabet a bé kom muda, bo iba ba bak ki mimañ mi bôt.
Lukas	42	1	8	Ndi kiki ngéda i ntôñ biprisi het a bééne i bi kola, Sakaria a kahal gwel nson u prisi i bisu bi Nyambe,
Lukas	42	1	9	inoñnaga ni lem yap ikété nson u biprisi; kiki ngéda yé i ti sesema i binjinjiñ i bi kola, a jôp i témpel Yéhôva.
Lukas	42	1	10	Limut li bôt jolisôna li bé soohe i mbégdé i ngeñ ba nlighene sesema i binjinjiñ.
Lukas	42	1	11	Ha nyen añgel Yéhôva i pémél nye, i bak i téé i pes walôm i juu li binjinjiñ.
Lukas	42	1	12	Ndi kiki a ntehe jam li, Sakaria a hel, a kon woñi ngandak.
Lukas	42	1	13	Ha nyen añgel i kal nye le: “U kon bañ woñi a Sakaria, inyule Nyambe a ñemble nyemhe woñ, nwaa woñ Élisabet a’ gwélél we man munlôm, u nlama o nye jôl le Yôhanes.
Lukas	42	1	14	W’a bana maséé ni mahak, yak ngandak bôt y’a kon maséé ni ligwéé jé,
Lukas	42	1	15	inyule a’ ba mut nkeñi i mis ma Yéhôva. Ndi a nlama bé nyo wai yo ki yo, to maok mo ki mo, a’ ba ki nyonok ni mbuu mpubi iloo yaga le a ngwéé,
Lukas	42	1	16	a’ témbna ki ngandak bon ba Israel yak Yéhôva Nyambe wap.
Lukas	42	1	17	Jam lipe ki, a’ bôk nye i bisu lôñni mbuu ni lipémba li Éliya, inyu boñ le miñem mi basañ mi témb kiki miñem mi bon, a hôla yak bôt ba yé ngimanôgla i bana pék i bôt ba téé sép, le ndi litén li ba nkôôbaga inyu Yéhôva.”
Lukas	42	1	18	Sakaria a kal añgel le: “Lelaa me nla ba nkwoog nkaa le jam lini l’a bôña toi? Inyule me yé mañ mut, yak nwaa wem a ñun.”
Lukas	42	1	19	Añgel i timbhe, i kal nye le: “Men me yé Gabriel, nu a ntelep i bisu bi Nyambe, a ñom me inyu pot lôñni we ni inyu añle we ñañ nlam unu.
Lukas	42	1	20	Ndi nun-ki, w’a kwo mbuk, w’a la ha bé pot letee ni i kel i mam mana m’a yon, inyule u nhémle bé bibañga gwem bi bi nlama yon i ntéak wap ngéda.”
Lukas	42	1	21	Ha ngéda i, bôt ba bé ba ngi bemek Sakaria, ba bak nhelek le a yé nom ngandak ikété témpel.
Lukas	42	1	22	I ngéda a bi pam, a bé la bé pôdôs bo, ba nôgda le a ntip tehe hélha jam ikété témpel. A bé kwélés bo ni moo, a bak a yii mbuk.
Lukas	42	1	23	I ngéda dilo di nson wé mpubhaga di bi mal, a témb i mbai yé.
Lukas	42	1	24	Ndék dilo i mbus ha, nwaa wé Élisabet a yoñ jém, a yén sôñ itan i ndap, a pam bé, a kalak le:
Lukas	42	1	25	“Haana nyen Yéhôva a mboñ me munu dilo dini. A nyoñ ngéda ni me inyu héya wonyuu yem i bisu bi bôt.”
Lukas	42	1	26	I ngéda jém li bi pam sôñ isamal, Nyambe a ep añgel Gabriel i tison yada i Galiléa le Nasaret,
Lukas	42	1	27	yak ngond ngi yi munlôm yada i i bi yegna libii ni mut wada i ndap David le Yôsep, jôl li ngond ngi yi munlôm ini li bé le Maria.
Lukas	42	1	28	Kiki añgel i njôp, i kal nye le: “Me nyéga we, a we nu u yé nsaibak kiyaga, Yéhôva a yé ni we.”
Lukas	42	1	29	Ndi bibañga gwé bi hélés nye ngandak, a yéñ njel i tibil nok kii mayéga mana ma nkobla.
Lukas	42	1	30	Ha nyen añgel i kal nye le: “U kon bañ woñi a Maria, inyule u nlémél Nyambe.
Lukas	42	1	31	Nun-ki, w’a nembee, u gwal man munlôm, u nlama o nye jôl le Yésu.
Lukas	42	1	32	A’ ba mut nkeñi, a’ séblana ki le Man nu Nungingii, Yéhôva Nyambe a’ ti ki nye yééne ane i isañ wé David,
Lukas	42	1	33	a’ ba Kiñe i ngii ndap Yakôb i boga ni boga, Ane yé y’a bana bé lisuk.”
Lukas	42	1	34	Ndi Maria a kal añgel le: “Lelaa hala a nla bôña, hala kiki me yé ngi lal ni munlôm?”
Lukas	42	1	35	Añgel i timbhe, i kal nye le: “Mbuu mpubi w’a lo i ngii yoñ, yak lipémba li Nungingii l’a hô we. Inyu hala nyen nu a ngwéé a’ séblana le mpubi, Man Nyambe.
Lukas	42	1	36	Ndi nun-ki, hala a yé sôñ isamal le Élisabet, mut woñ lihaa, a yé jém li man munlôm i biuni gwé, to hala kiki bôt ba kalak le a yé kom muda.
Lukas	42	1	37	Inyule lipôdôl li Nyambe to jada li nla bé yén ngi yon.”
Lukas	42	1	38	Ha nyen Maria a bi kal le: “Nun-ki, me yé nkol u Yéhôva! I bôña ni me kiki u mpot.” I mbus, añgel i ke, i yék nye.
Lukas	42	1	39	Mu dilo di, Maria a pala ke liké i mbok dikôa, i tison i Yuda yada,
Lukas	42	1	40	a jôp ikété ndap Sakaria, a yéga Élisabet.
Lukas	42	1	41	Ndi kiki Élisabet a nok mayéga ma Maria, man a nyiñgha ikété libum jé, ha nyen Élisabet a yon ni mbuu mpubi,
Lukas	42	1	42	a lond ni ngui le: “Ba nsaibak ikété bôda, yak man a yé ikété libum joñ a ba nsaibak!
Lukas	42	1	43	Kinje bisai me gwé le nyañ Nwet wem a nlo i meeni!
Lukas	42	1	44	Inyule nun-ki, kiki kiñ i mayéga moñ i njôp ndik me maôô, man a yé me ikété libum a nyiñgha ni maséé.
Lukas	42	1	45	Maséé ma ba ki ni i muda nu a bi hémle, inyule i mam mana Yéhôva a mpot inyu yé m’a yon momasôna.”
Lukas	42	1	46	Maria a kal le: “Me ñañal bikeñi bi Yéhôva,
Lukas	42	1	47	yak mbuu wem u nlôôha kon maséé inyu Nyambe Ntohol wem,
Lukas	42	1	48	inyule a bi béñge libak jem lititigi li nkol muda. Inyule nun-ki, ibôdôl nano, tjai tjodisôna d’a kal le me yé kimasoda,
Lukas	42	1	49	inyule Nu lipémba a mboñ mam makeñi inyu yem, yak jôl jé li yé lipubi;
Lukas	42	1	50	hiai i mbus hiai, konangoo yé i yé i ngii ba ba nkon nye woñi.
Lukas	42	1	51	A mboñ mimpémba mi mam ni woo wé; a nsand ba ba gwé mahoñol ma ngôk ikété miñem nwap.
Lukas	42	1	52	A nhéya mimpémba mi bôt i biyééne bi ane, a suhus bo, ndi a bédés bôt batitigi;
Lukas	42	1	53	A nuus bôt ba yé njal ni gwom bilam, ndi a huuha mingwañ mi bôt moo nso.
Lukas	42	1	54	A mbigda konangoo yé, a lona ngwélél wé Israel mahôla
