book	book_id	chapter	verse	text
Lôk Héber	58	1	1	I ngéda kôba, Nyambe a bi pôdôs basôgôlsôgôl bés ngandak ngélé ni njel bapôdôl, a gwéélak ki ngandak manjel.
Lôk Héber	58	1	2	Ndi nano i lisuk li dilo dini, a mpôdôs bés ni njel Man wé nu a bi téé nkôdôl mam momasôna, ni njel yé ki nyen a bi hek mam ma yé i ngii ni hana ’isi.
Lôk Héber	58	1	3	Nyen a yé titii i lipém li Nyambe lôñni bañga bañga ndémbél i libak li Nyambe, a niñis mam momasôna ni njel lipôdôl li ngui yé. Ndi ngéda a bi mal pubus bibéba gwés, a bi yén i woo walôm u Nyambe nunkeñi nyoo ngingii.
Lôk Héber	58	1	4	Jon a bi kôhna tel i i nloo i biañgel, kayéle a kôhna jôl li li nlôôha lilam iloo map.
Lôk Héber	58	1	5	Kiki hihéga, ikété biañgel, imbe añgel Nyambe a bi kal to kel yada le: “U yé man wem; i len ini, me nyila isoñ”? Tole: “M’a yila isañ, yak nye a’ yila man wem”?
Lôk Héber	58	1	6	Ndi ngéda a ntémb a lona Mbôkgwéé wé hana nkoñ ’isi, a nkal le: “Yak biañgel bi Nyambe gwobisôna bi ti nye lipém.”
Lôk Héber	58	1	7	A nkal ki inyu biañgel le: “A nyilha biañgel gwé bihégél bi mbuu, a yilha yak bagwelnson bé lindômbôô li hié.”
Lôk Héber	58	1	8	Ndi inyu Man wé, a nkal le: “Nyambe a yé yééne yoñ ane i boga ni boga; yak ntoñgo u Ane yoñ, u yé ntoñgo ane u telepsép.
Lôk Héber	58	1	9	U bi gwés telepsép, u oo liyanmbén. Inyu hala nyen Nyambe, Nyambe woñ, a bi hoo we môô ma maséé makeñi iloo baso lôñ boñ.”
Lôk Héber	58	1	10	Ni le: “Éé a Nwet, u bi tek dikuu di hisi i bibôdle, yak ngii i yé nson u moo moñ.
Lôk Héber	58	1	11	Gwon bi ga tjiba, ndi we w’a yégle; gwobisôna gw’a un kiki mbot,
Lôk Héber	58	1	12	w’a hôt ki gwo kiki mbôñgô mbot, gw’a héñhana kiki mbot. Ndi we u yé nlélém, yak nwii nwoñ nw’a bana bé lisuk kekikel.”
Lôk Héber	58	1	13	Ndi ikété biañgel, inyu imbe añgel a bi kal to kel yada le: “Yén i woo wem walôm, letee me yilha baoo boñ kiki kéhne yoñ makôô”?
Lôk Héber	58	1	14	Baa biañgel gwobisôna bi ta bé mimbuu inyu nson mpubhaga, mi Nyambe a ñep i gwel nson inyu bôt b’a kôdôl tohi?
book	book_id	chapter	verse	text
Lôk Héber	58	2	1	Inyu hala nyen i yé bés nseñ le di tibil bok mahoñol mu mam di bi nok iloo kiki di mbéna boñ, kayéle kekikel di kenek bañ haa ni hémle.
