book	book_id	chapter	verse	text
Markô	41	1	1	Bibôdle bi ñañ nlam u Yésu Kristô, Man Nyambe.
Markô	41	1	2	Kiki i yé ntilga ikété kaat i mpôdôl Yésaya le: “(Nuna-ki, me yé i ep nlegelnwin wem i bisu gwoñ, nyen a’ bôk we i bisu inyu kôôba njel yoñ.)
Markô	41	1	3	Mut a nlond i ñoñ le: ‘Kôôbana njel i Yéhôva! Sañlana ki minloñ nwé.’”
Markô	41	1	4	Yôhanes Nsôble a bé i ñoñ, a téak likalô le bôt ba kôhna sôble kiki yimbne le ba nhiel miñem inyu kôhna nwéhél i bibéba.
Markô	41	1	5	Hala nyen bôt ba nkoñ u Yudéa wonsôna ni bôt ba Yérusalem bobasôna ba bé ke i boma nye, a sôblege bo ikété lom Yordan, ba pahlak bibéba gwap.
Markô	41	1	6	Yôhanes a bé a hééba mbot mahuu ma kamél, a ban-ga ngôli i kôgôô nuga i bôbôk. A bé je bitandi ni wéi bikai.
Markô	41	1	7	A bé téé likalô, a kalak le: “Mut a nloo me ngui a nlo me i mbus, me kôli bé hôdôp inyu hohol minkôô nwé mi bitamb.
Markô	41	1	8	Me, me nsôble bé ni malép, ndi nye a’ sôble bé ni mbuu mpubi.”
Markô	41	1	9	Mu dilo di nyen Yésu a bi lôl i Nasaret nu Galiléa, Yôhanes a sôble nye ikété Yordan.
Markô	41	1	10	I nlélém ngéda a bé pam ikété malép, a tehe ngii i nyibla, mbuu u Nyambe u sôs kiki hibeñ i ngii yé.
Markô	41	1	11	Ha nyen kiñ i lôl i ngii le: “U yé Man wem, Man wem nu gwéha; u nlémél me.”
Markô	41	1	12	Ha nlélém ngéda, mbuu u tinde nye i ke i ñoñ.
Markô	41	1	13	A yén i ñoñ môm ma-na ma dilo, Satan a noodege nye. A bé lôñni binuga bi bikai, ndi biañgel bi bé sélél nye.
Markô	41	1	14	I ngéda ba bi gwel Yôhanes, Yésu a ke i Galiléa, a añlak ñañ nlam u Nyambe,
Markô	41	1	15	a kalak le: “Ntéak ngéda u nkola, yak Ane Nyambe i nkôôge bebee. Tama bibéba binan, ni hémle ki ñañ nlam.”
Markô	41	1	16	Kiki a bé hiôm ipañ tuye Galiléa, a tehe Simôn ni manyañ le Andréa, ba leñek mbunja yap i tuye inyule ba bé balop tjobi.
Markô	41	1	17	Ha nyen Yésu a kal bo le: “Noña me, m’a yilha bé balop bôt.”
Markô	41	1	18	I nlélém ngéda, ba tjôô mbunja yap, ba noñ nye.
Markô	41	1	19	Kiki a nkônde ke ndék jôga i bisu, a tehe Yakôbô, man Sébédéô, lôñni manyañ le Yôhanes ba bé ikété môñgô wap, ba tiblak mbunja yap,
Markô	41	1	20	a pala sébél bo. Ha nyen ba yék isañ wap Sébédéô lôñni bôt bé ba bôlô ikété môñgô, ba noñ nye.
Markô	41	1	21	Ba ke i Kapernaum. Kiki kel Sabat i mbôdôl ndigi, a jôp i ndap bibégés, a bôdôl niiga.
Markô	41	1	22	Bôt ba hel kiyaga inyu likeñge jé i niiga inyule a bé niiga bo kiki mut nu a gwé lipémba li Nyambe, ha kiki bayimbén bap bé.
Markô	41	1	23	I nlélém ngéda, mbuu mbe u bé tééñga mut wada mukété ndap yap bibégés, a londok le:
Markô	41	1	24	“Bés ni we, di gwééna kii, a Yésu, mut Nasaret? Baa u nlo inyu tjé bés? Me nyi yaga njee u yé, u yé Numpubi nu Nyambe!”
Markô	41	1	25	Ndi Yésu a nyéyéi wo, a kal le: “Yip nyo, nyodi ikété yé!”
Markô	41	1	26	Ha nyen mbuu mbe u leñ i mut nu ’isi, mut a sat, a londok ki ni kiñ yé yosôna; i mbus, mbuu u nyodi ikété yé.
Markô	41	1	27	Hala a hélés bôt bobasôna kiyaga kayéle ba bôdôl kwélél mu jam li bo ni bo, ba kalak le: “Kii ini? Biniigana bi mondo bi! A nti yak mimbuu mimbe oda, mi nôgôl ki nye.”
Markô	41	1	28	Hala nyen ngan yé i pala tjama ni mbok Galiléa yosôna.
Markô	41	1	29	I mbus ha, ba nyodi i ndap bibégés, ba ke i ndap Simôn lôñni Andréa, yak Yakôbô bona Yôhanes ba bé lôñni bo.
