book	book_id	chapter	verse	text
Masoola	66	1	1	Masoola ni njel Yésu Kristô, ma Nyambe a bi ti nye le a unda minkol nwé i mam ma nlama bôña ndék ngéda. A bi om añgel yé, a gwélél ki yo inyu unda mo nkol wé Yôhanes ni njel biyimbne,
Masoola	66	1	2	nyen a bi bok mbôgi inyu bañga i Nyambe ni inyu mbôgi Yésu Kristô a bi ti, ñ, inyu mam momasôna a bi tehe.
Masoola	66	1	3	Maséé ni nu a ñañ ni kiñ keñi, yak ba ba ñemble bibañga bi mbañ ini, ba nôglak i mam ma yé ntilga mukété, inyule ntéak ngéda u yé bebee.
Masoola	66	1	4	Me Yôhanes, me ntilna makoda masaambok ma yé i pes mbok Asia: Konangoo i mbuma ñañ lôñni nsañ bi ba ni bé, bi bi nlôl yak “Nu a yé, nu a bé, ni nu a yé i lo,” bi lôlak ki yak mimbuu misaambok mi mi yé i bisu bi yééne yé ane,
Masoola	66	1	5	yak ni Yésu Kristô, “Mbokmbôgi nu maliga,” “mbôkgwéé ikété bawoga,” ni “Ñane bikiñe bi nkoñ ’isi.” Nu a ngwés bés, a bi kobol ki bés ni bibéba gwés ni njel matjél mé nyemede,
Masoola	66	1	6	a boñ le di ba ngim ane, biprisi bi Nyambe wé ni Tata, ñ, lipém ni lipémba bi ba ni nye i boga ni boga. Amen.
Masoola	66	1	7	Nuna-ki! A yé i lo lôñni ond, hiki jis li ga tehe nye, Yak i bôt ba bi ôm nye likoñ; bôt ba matén momasôna ma nkoñ ’isi b’a bép manyuu map ikété ndutu inyu yé. Ñ, Amen.
Masoola	66	1	8	Yéhôva Nyambe a nkal le: “Me yé Alfa ni Ôméga, Nu a yé, ni nu a bé, ni nu a yé i lo, Nu ngui yosôna.”
Masoola	66	1	9	Me Yôhanes, maasoñ nan, ni mut nu a nyoñ ngaba lôñni bé i njiiha, i ane ni i hônba ikété adna lôñni Yésu, me bé i ôn ba nsébél le Patmôs inyule me bé pot inyu Nyambe, me bogok mbôgi inyu Yésu.
Masoola	66	1	10	Ni ngui i mbuu mpubi, me léba le me yé i hilo hi Nwet, ha nyen me bi nok kiñ keñi i mbus yem wengoñle sép,
Masoola	66	1	11	i kalak le: “I mam u ntehe, tila mo ikété nhôdôk kaat, u ômle ki yo makoda masaambok le: Éfésô, Smirna, Pergamô, Tiatira, Sardé, Filadelfia ni Laôdikéa.”
Masoola	66	1	12	Me bi hielba le me tehe njee a bé pôdôs me; kiki me nhielba, me tehe bitééne bi bilambe bi gôl bisaambok,
Masoola	66	1	13	mut a bé i ñemkété u bitééne bi bilambe, a pôn-ga man mut, a bak a hééba mbot i i mpam letee ni makôô, a bak ki a hééba ngôli gôl i tôl yé.
Masoola	66	1	14	Handugi hala, ño wé ni tjôñ tjé bi bé pôp kiki bipuba bi mahuu ma ntômba, kiki libu li lisuni, mis mé ma bak wengoñle lindômbôô li hié,
Masoola	66	1	15	yak makôô mé ma bé pôna bañga mamuna ngéda ma mbai ikété hié hi hi gwé mbimba, yak kiñ yé i bé wengoñle liyôgbe li ngandak malép.
Masoola	66	1	16	Ndi a bé a gwé tjôdôt disaambok i woo wé walôm; yak mbôñgô pansoñ u malo ima u u nhoo u pémlak i nyo wé, su wé u bak ki wengoñle hiañgaa ngéda hi mbai ni ngui.
Masoola	66	1	17	I ngéda me bi tehe nye, me kwo i makôô mé kiki mim. A kéhi woo wé walôm i ngii yem, a kal le: “U kon bañ woñi, me yé Nu bisu ni Nu sôk,
Masoola	66	1	18	me yé ki nu a niñ, me bi wo, ndi nun-ki, me niñ i boga ni boga, me gwé ki diliba di nyemb ni di Soñ.
Masoola	66	1	19	Jon tila i mam u mal tehe, ni i mam ma yé, lôñni mam ma ga bôña i mbus mana.
Masoola	66	1	20	Inyu jimb lipubi li tjôdôt disaambok di u mal tehe i woo wem walôm ni li bitééne bi bilambe bi gôl bisaambok: Tjôdôt disaambok di yé biañgel bi makoda masaambok, yak bitééne bi bilambe bisaambok bi yé makoda masaambok.
book	book_id	chapter	verse	text
Masoola	66	2	1	“Tilna añgel i likoda li Éfésô le, nu a gwé tjôdôt disaambok i woo wé walôm, a kilak ki ipôla bitééne bi bilambe bi gôl bisaambok, nyen a nkal i mam mana le:
Masoola	66	2	2	‘Me nyi maboñok moñ, ni ndumbba yoñ, ni hônba yoñ, ni le u nla bé nihbe bibéba bi bôt; u bi wan ki ba ba nkalba le ba yé baôma ndi ki le ba ta bé baôma, u léba le ba yé bôt ba bitembee.
Masoola	66	2	3	U ñunda le u gwé hônba, u bi téñbe ki inyu jôl jem, to waa u bi waa bé.
Masoola	66	2	4	Ndi to hala, me gwé i jam lini ikolba we le, u bi nwas gwéha u bééna i bibôdle.
