book	book_id	chapter	verse	text
Matéô	40	1	1	Kaat ñañ u niñ i Yésu Kristô, man David, man Abraham:
Matéô	40	1	2	Abraham a yila isañ Isak;Isak a yila isañ Yakôb;Yakôb a yila isañ Yuda ni lôkisañ;
Matéô	40	1	3	Yuda a yila isañ Péres bo Séra, nyañ wap le Tamar;Péres a yila isañ Esrôm;Esrôm a yila isañ Ram;
Matéô	40	1	4	Ram a yila isañ Aminadab;Aminadab a yila isañ Naasôn;Naasôn a yila isañ Salmôn;
Matéô	40	1	5	Salmôn a yila isañ Bôas, nyañ Bôas le Rahab;Bôas a yila isañ Ôbed, nyañ Ôbed le Ruth;Ôbed a yila isañ Yésé;
Matéô	40	1	6	Yésé a yila isañ Kiñe David;David bona muda nu a ba nwaa Uriya ba gwal Salômô;
Matéô	40	1	7	Salômô a yila isañ Réhôbôam;Réhôbôam a yila isañ Abiya;Abiya a yila isañ Asa;
Matéô	40	1	8	Asa a yila isañ Yéhôsafat;Yéhôsafat a yila isañ Yéhôram;Yéhôram a yila isañ Ôsiya;
Matéô	40	1	9	Ôsiya a yila isañ Yôtam;Yôtam a yila isañ Ahas;Ahas a yila isañ Hézékia;
Matéô	40	1	10	Hézékia a yila isañ Manasé;Manasé a yila isañ Amôn;Amôn a yila isañ Yôsia;
Matéô	40	1	11	Yôsia a yila isañ Yékônia ni lôkisañ, i ngéda maké i minkôm i Babilôn.
Matéô	40	1	12	I mbus maké i minkôm i Babilôn, Yékônia a yila isañ Salatiel;Salatiel a yila isañ Sôrôbabel;
Matéô	40	1	13	Sôrôbabel a yila isañ Abiud;Abiud a yila isañ Éliakim;Éliakim a yila isañ Asôr;
Matéô	40	1	14	Asôr a yila isañ Sadok;Sadok a yila isañ Akim;Akim a yila isañ Éliud;
Matéô	40	1	15	Éliud a yila isañ Éléazar;Éléazar a yila isañ Matan;Matan a yila isañ Yakôb;
Matéô	40	1	16	Yakôb a yila isañ Yôsep, nlôm Maria. Maria a gwal Yésu, nu a nsébla le Kristô.
Matéô	40	1	17	Tjai tjodisôna ibôdôl yak Abraham letee ni yak David di yé jôm ni dina; ibôdôl yak David letee ni ngéda maké i minkôm i Babilôn, tjai di yé jôm ni dina; ibôdôl i ngéda maké i minkôm i Babilôn letee ni yak Kristô, tjai di yé jôm ni dina.
Matéô	40	1	18	Haana nyen ligwéé li Yésu Kristô li bi tagbe. I ngéda nyañ le Maria a bi yegna libii ni Yôsep, a yoñ jém ni njel mbuu mpubi, bo ngi adba.
Matéô	40	1	19	Ndi kiki nlôm le Yôsep a bé mut telepsép, a gwés bé wéha nye nyuu i mbamba, a hek pék le a mbos ni nye bisôsôli.
Matéô	40	1	20	Ndi ngéda a bi mal hoñol i mam mana momasôna, nuna-ki! Añgel Yéhôva i pémél nye i eem, i kal nye le: “A Yôsep, man David, u kon bañ woñi i yoñ nwaa woñ Maria i weeni, inyule i jém a nyoñ li nlôl ni mbuu mpubi.
Matéô	40	1	21	A’ gwal man munlôm, u nlama o nye jôl le Yésu inyule a’ tohol bôt ni bibéba gwap.”
Matéô	40	1	22	I mam mana momasôna ma bé tagbe inyu yônôs mam Yéhôva a pot ni njel mpôdôl wé nu a kal le:
Matéô	40	1	23	“Nuna-ki, ngond ngi yi munlôm y’a nembee, i gwal man munlôm, b’a o nye jôl le Émanuel,” hala a nkobla le: “Nyambe a yé ni bés.”
Matéô	40	1	24	Ha nyen Yôsep a bi tôde ’ilo, a boñ kiki añgel Yéhôva i kal nye, a yoñ nwaa i nyeni.
Matéô	40	1	25	Ndi a bi nañlana bé nye letee a gwal man munlôm, Yôsep a o man nu jôl le Yésu.
book	book_id	chapter	verse	text
Matéô	40	1	1	Kaat ñañ u niñ i Yésu Kristô, man David, man Abraham:
Matéô	40	1	2	Abraham a yila isañ Isak;Isak a yila isañ Yakôb;Yakôb a yila isañ Yuda ni lôkisañ;
Matéô	40	1	3	Yuda a yila isañ Péres bo Séra, nyañ wap le Tamar;Péres a yila isañ Esrôm;Esrôm a yila isañ Ram;
Matéô	40	1	4	Ram a yila isañ Aminadab;Aminadab a yila isañ Naasôn;Naasôn a yila isañ Salmôn;
Matéô	40	1	5	Salmôn a yila isañ Bôas, nyañ Bôas le Rahab;Bôas a yila isañ Ôbed, nyañ Ôbed le Ruth;Ôbed a yila isañ Yésé;
Matéô	40	1	6	Yésé a yila isañ Kiñe David;David bona muda nu a ba nwaa Uriya ba gwal Salômô;
Matéô	40	1	7	Salômô a yila isañ Réhôbôam;Réhôbôam a yila isañ Abiya;Abiya a yila isañ Asa;
Matéô	40	1	8	Asa a yila isañ Yéhôsafat;Yéhôsafat a yila isañ Yéhôram;Yéhôram a yila isañ Ôsiya;
Matéô	40	1	9	Ôsiya a yila isañ Yôtam;Yôtam a yila isañ Ahas;Ahas a yila isañ Hézékia;
Matéô	40	1	10	Hézékia a yila isañ Manasé;Manasé a yila isañ Amôn;Amôn a yila isañ Yôsia;
Matéô	40	1	11	Yôsia a yila isañ Yékônia ni lôkisañ, i ngéda maké i minkôm i Babilôn.
Matéô	40	1	12	I mbus maké i minkôm i Babilôn, Yékônia a yila isañ Salatiel;Salatiel a yila isañ Sôrôbabel;
Matéô	40	1	13	Sôrôbabel a yila isañ Abiud;Abiud a yila isañ Éliakim;Éliakim a yila isañ Asôr;
Matéô	40	1	14	Asôr a yila isañ Sadok;Sadok a yila isañ Akim;Akim a yila isañ Éliud;
Matéô	40	1	15	Éliud a yila isañ Éléazar;Éléazar a yila isañ Matan;Matan a yila isañ Yakôb;
Matéô	40	1	16	Yakôb a yila isañ Yôsep, nlôm Maria. Maria a gwal Yésu, nu a nsébla le Kristô.
Matéô	40	1	17	Tjai tjodisôna ibôdôl yak Abraham letee ni yak David di yé jôm ni dina; ibôdôl yak David letee ni ngéda maké i minkôm i Babilôn, tjai di yé jôm ni dina; ibôdôl i ngéda maké i minkôm i Babilôn letee ni yak Kristô, tjai di yé jôm ni dina.
Matéô	40	1	18	Haana nyen ligwéé li Yésu Kristô li bi tagbe. I ngéda nyañ le Maria a bi yegna libii ni Yôsep, a yoñ jém ni njel mbuu mpubi, bo ngi adba.
Matéô	40	1	19	Ndi kiki nlôm le Yôsep a bé mut telepsép, a gwés bé wéha nye nyuu i mbamba, a hek pék le a mbos ni nye bisôsôli.
Matéô	40	1	20	Ndi ngéda a bi mal hoñol i mam mana momasôna, nuna-ki! Añgel Yéhôva i pémél nye i eem, i kal nye le: “A Yôsep, man David, u kon bañ woñi i yoñ nwaa woñ Maria i weeni, inyule i jém a nyoñ li nlôl ni mbuu mpubi.
Matéô	40	1	21	A’ gwal man munlôm, u nlama o nye jôl le Yésu inyule a’ tohol bôt ni bibéba gwap.”
Matéô	40	1	22	I mam mana momasôna ma bé tagbe inyu yônôs mam Yéhôva a pot ni njel mpôdôl wé nu a kal le:
Matéô	40	1	23	“Nuna-ki, ngond ngi yi munlôm y’a nembee, i gwal man munlôm, b’a o nye jôl le Émanuel,” hala a nkobla le: “Nyambe a yé ni bés.”
Matéô	40	1	24	Ha nyen Yôsep a bi tôde ’ilo, a boñ kiki añgel Yéhôva i kal nye, a yoñ nwaa i nyeni.
Matéô	40	1	25	Ndi a bi nañlana bé nye letee a gwal man munlôm, Yôsep a o man nu jôl le Yésu.
book	book_id	chapter	verse	text
Matéô	40	2	1	I mbus ligwéé li Yésu i Bétléhém i Yudéa, i dilo di Kiñe Hérôdé, nuna-ki, bayitjôdôt ba bi lôl i pes likôl, ba pam i Yérusalem,
Matéô	40	2	2	ba bat le: “Nu a ngwéé kiñe Lôk Yuda a yé hee? Inyule di ntehe hiôdôt hié ngéda di bak i likôl, jon di nlo le di ti nye lipém.”
Matéô	40	2	3	I ngéda ba bi nok hala, Kiñe Hérôdé ni bôt ba Yérusalem bobasôna ba kon woñi.
Matéô	40	2	4	Ha nyen Kiñe Hérôdé a kot baéga biprisi bobasôna ni bayimbén ba litén bobasôna, a bat bo hee Kristô a nlama gwééne.
Matéô	40	2	5	Ba kal nye le: “I Bétléhém i Yudéa, inyule haana nyen mpôdôl a tila:
Matéô	40	2	6	‘We, a Bétléhém i nkoñ u Yudéa, bangomin bakeñi bape ba Yudéa ba nlama bé yoñ we kiki tison i nlôôha ntitigi, inyule i weeni nyen ñane a’ pémél, nu a’ ba ntééda litén jem Israel.’”
Matéô	40	2	7	Ha nyen Hérôdé a sébél bayitjôdôt bisôsôli, a tibil yaga bat bo imbe ngéda ba bi tehe hiôdôt.
Matéô	40	2	8	I ngéda a bé ep bo i Bétléhém, a kal bo le: “Kena, ni tibil yaga yéñ hisiina mañge, ngéda ni ntehe nye, ni lo ni kal me inyu boñ le yak me, me ke me ti nye lipém.”
Matéô	40	2	9	I ngéda ba bi mal emble kiñe, ba yoñ njel, ndi nuna-ki, hiôdôt ba bi tehe ngéda ba bé i likôl, hi bôk bo i bisu letee hi ke hi telep i ngii homa hisiina mañge hi bé.
