book	book_id	chapter	verse	text
Minson mi Baôma	44	1	1	A Téôfilô, ikété kaat yem bisu, me bi toñol mam momasôna Yésu a bi boñ ni niiga
Minson mi Baôma	44	1	2	letee ni kel Nyambe a bi yoñ nye i ngii, a ma mal ti baôma a bi pohol biniigana ni njel mbuu mpubi.
Minson mi Baôma	44	1	3	I mbus le a bi nok ndutu, a pémél bo ngandak ngélé, inyu boñ le ba yi ibabé pééna le a yé toi i niñ. Ba tehe nye môm ma-na ma dilo, a pôdôs ki bo inyu Ane Nyambe.
Minson mi Baôma	44	1	4	I ngéda a bi kodba lôñni bo, a kal bo le: “Ni nyodi bañ i Yérusalem, ndi ni kônde bem jam Tata a bi bôn, li ni bi nôgôl i meeni;
Minson mi Baôma	44	1	5	inyule ni maliga, Yôhanes a bi sôble ni malép; ndi mbus ndék dilo, n’a sôblana ni mbuu mpubi.”
Minson mi Baôma	44	1	6	Jon ngéda ba bi témb ba kodba, ba bat nye le: “A Nwet, baa munu ngéda ini nyen u ntimbhene Israel ane?”
Minson mi Baôma	44	1	7	A kal bo le: “Ni gwé bé le ni yi mangéda to bikék Tata a bi bii isi énél yé nyemede.
Minson mi Baôma	44	1	8	Ndi n’a kôhna ngui ngéda mbuu mpubi w’a lo i ngii nan, ha nyen n’a ba mbôgi yem i Yérusalem, i Yudéa yosôna ni i Samaria, letee ni masuk ma hisi.”
Minson mi Baôma	44	1	9	Kiki a mal pot i mam mana, Nyambe a yoñ nye i ngii, ba béñgege; i mbus, ond i hô nye, ba la ha bé ki tehe nye.
Minson mi Baôma	44	1	10	Ba kida ba mbéñge ngii kiki a bé ke, kunda yada, bôt iba ba hééba bipuba bi mambot ba telep bo ipañ,
Minson mi Baôma	44	1	11	ba kal bo le: “A bôt ba Galiléa, inyuki ni nkida ni mbéñge ngii? I Yésu nunu Nyambe a nyoñ i ngii, a yék bé, kiki ni ntehe nye a nke i ngii, hala ki nyen a ntémb a lo.”
Minson mi Baôma	44	1	12	I mbus ha, ba témb i Yérusalem, ba nyodi i hikôa ba nsébél le Hikôa Ôlivé, hi hi yé bebee ni Yérusalem, ntel liké li kel Sabat.
Minson mi Baôma	44	1	13	Kiki ba mpam, ba bet i tuñ ngii, i homa ba bé yééne. Ba bé Pétrô lôñni Yôhanes, Yakôbô, Andréa, Filipô, Tômas, Bartôlôméô, Matéô, Yakôbô man Alféô, Simôn mut makénd lôñni Yuda man Yakôbô.
Minson mi Baôma	44	1	14	Bobasôna ba bé téñbe ikété masoohe ni ñem wada, lôñni bôda bahogi, ni Maria nyañ Yésu, ni lôknyañ.
Minson mi Baôma	44	1	15	Mu dilo di nyen Pétrô a bi telep ipôla lôk kéé (nsoñgi wonsôna u bôt u bé mbôgôl ni môm ima), a kal le:
Minson mi Baôma	44	1	16	“A lôk kéé, i bé béda le tilna i yon; tilna mbuu mpubi u bi bôk pot ni njel David inyu Yuda, nu a bé ñéga bôt ba bi gwel Yésu.
