book	book_id	chapter	verse	text
Titô	56	1	1	Me Paul, nkol u Nyambe ni ñôma nu Yésu Kristô inoñnaga ni hémle i mimpohlak mi bôt ba Nyambe lôñni bañga yi i maliga i i yé inoñnaga ni ndéñbe i gwélél Nyambe,
Titô	56	1	2	yon i niñne i ngii botñem i niñ boga le Nyambe nu a nla bé tembee a bi bôn ibôdôl kôba;
Titô	56	1	3	ndi i ntéak wé ngéda, Ntohol wés le Nyambe a bi boñ le bôt ba yi bañga yé ni njel likalô a bi ti me inoñnaga ni oda yé;
Titô	56	1	4	me ntilna Titô, bañga yem man inoñnaga ni hémle di gwé lôñ: Konangoo i mbuma ñañ ni nsañ bi nlôl yak Nyambe Tata ni yak Kristô Yésu Ntohol wés bi ba ni we.
Titô	56	1	5	Me bi yék we i Kréta inyu boñ le u kodol mam ma téé bé, u téé ki mimañ, tison i mbus tison, kiki me bi niiga we le:
Titô	56	1	6	Mañ u likoda u nlama ba nginsohi, u bak nlôm nwaa wada, u ban-ga bon ba nhémle, ba bôt ba ñôm bé nsohi le ba niñ ikété mpuñgu tole ba yé ndok.
Titô	56	1	7	Inyule kiki kindak Nyambe, mbéñge a nlama ba nginsohi, a ba bañ mut ño mbe, to mut nu a mpala unup, to mut lihiua, to mut bisañ, to mut a gwé huluk ñem i je bôt nseñ,
Titô	56	1	8	ndi a ba mut a nyi leege bakén, mut a ngwés mam malam, mut a nyi hek pék, a bak mut a téé sép, mut ndéñbe, mut hôtnyuu,
Titô	56	1	9	mut nu a ntéñbe ni bañga i maliga ngéda a ngwélél likeñge jé i niiga; inyu boñ le ni njel biniigana bi bi yé maliga, a ti makénd ni kodol i bôt ba nkolba biniigana.
Titô	56	1	10	Inyule bôt ba ndok ba yé ngandak, bôt ba bipopoda ni bôt ba malôga, téntén ba ba ntéñbe ni likwee.
Titô	56	1	11	I mbéda le u yip bo manyo, inyule bo yaga bon ba nke ni bisu i tjé hémle i mahaa hala kiki ba niiga mam ba nlama bé niiga le ndi ba kôhna yéñe i malôga.
Titô	56	1	12	Mut wada ikété yap, mpôdôl wap yaga, nyen a bi kal le: “Bôt ba Kréta ba yé bôt ba bitembee ngéda yosôna, ba yé binuga bi bikai bi bi nyai, bôt ba mbéna je ni bôt ba yeñgi.”
Titô	56	1	13	I mbôgi ini i yé maliga. Inyu njom ini nyen ke ni bisu i kodol bo bañga likodlak inyu boñ le ba ba mbôô ikété hémle,
Titô	56	1	14	ba emble bañ miñañ mi bitembee mi Lôk Yuda ni mambén ma bôt ba ba nkôm maliga mbus.
Titô	56	1	15	Mam momasôna ma mpôp inyu bôt ba mpôp; ndi yom to yada i mpôp bé inyu bôt ba mahindi ni ba ngi hémle, inyule mahoñol map ni kiññem yap bi yé mahindi.
Titô	56	1	16	Ba ñañal i mbamba le ba nyi Nyambe, ndi ba ntañba nye ni minson nwap inyule ba yé bôt a kôli oo, bôt ba ba nôgôl bé nye, ba nlémél bé to nye, ba nla bé to gwel nson nlam wo ki wo.
book	book_id	chapter	verse	text
Titô	56	2	1	Ndi we, ke ni bisu i pot inoñnaga ni biniigana bi maliga.
Titô	56	2	2	Mimañ mi bôt mi bana hôtnyuu ikété maboñok map, mi bak bôt ba kôli ni lipém, mi yik hek pék, mi bak mbôô ikété hémle, ikété gwéha, ni ikété hônba.
Titô	56	2	3	Nlélém jam ki, mimañ mi bôda mi bana maboñok ma kôli ni bôt bapubhaga, mi ba bañ bôda ba minsohi, to minkol mi ngandak wai, ndi mi ba balét ba niiga mam malam,
Titô	56	2	4	kayéle mi pam i ti bingond bi bôda maéba le bi gwés balôm bap, bi gwés bon bap,
Titô	56	2	5	bi yik hek pék, bi bak bapubhaga ikété maboñok map, bi salak i mandap map; bi ban-ga bilem bilam, bi suhlak bomede isi balôm bap, le ndi bôt ba pôdôl bañ bañga i Nyambe béba.
Titô	56	2	6	Nlélém jam ki, ke ni bisu i ti boñge ba wanda makénd le ba yi hek pék,
Titô	56	2	7	wemede u undga le u yé ndémbél i minson minlam ikété manjel momasôna. Niiga i mam ma yé mapubhaga, u bak mut nu a njôha yaga bé ni nson,
Titô	56	2	8	u gwéélak bipôdôl bi maliga le bôt ba nla bé ôm nsohi, inyu boñ le i bôt ba nkolba bés ba wo nyuu, inyule ba gwé bé jam libe jo ki jo i pot inyu yés.
Titô	56	2	9	Minkol mi suhus nwomede isi bet bap ikété mam momasôna, mi noodege lémél bo, mi bep bañ timbhe bo,
Titô	56	2	10	mi nibil bañ bo, ndi mi unda le mi yé bôt ba nla bôdôl ñem i nya i yôni, kayéle ikété manjel momasôna mi lémés biniigana bi Nyambe Ntohol wés.
Titô	56	2	11	Inyule konangoo i mbuma ñañ i Nyambe i bi nene i mbamba, i lona tohi inyu mintén mi bôt nwominsôna.
Titô	56	2	12	I konangoo ini i niiga bés i tjél liyan Nyambe ni minheña mi nkoñ ’isi, ndi di niñ ni liyi hek pék, ni telepsép, ni ndéñbe i gwélél Nyambe munu nkoñ ’isi unu,
Titô	56	2	13	di bemek botñem i maséé lôñni masoola ma lipém ma Nyambe nunkeñi ni ma Ntohol wés Yésu Kristô,
Titô	56	2	14	nu a bi sem nyemede inyu yés, le ndi a kobol bés ni mintén mi liyanmbén nwominsôna, a pubus ki bés inyu yé nyemede le di yila bôt bé ba tôbôtôbô, di ban-ga makénd inyu minson minlam.
