book	book_id	chapter	verse	text
Yakôbô	59	1	1	Me Yakôbô, nkol u Nyambe ni u Nwet le Yésu Kristô, me ntilna jôm li matén ni ima, ma ma yé ntjamak bahoma bahoma: Me nyéga bé!
Yakôbô	59	1	2	A lôk kéé, ngéda ni mboma manoodana nya ndi nya, yoña hala ni maséé momasôna,
Yakôbô	59	1	3	hala kiki ni nyi le ngéda hémle nan i nkôhna manoodana, hala a nti hônba.
Yakôbô	59	1	4	Ndi hônba i nlama mélés nson wé le ndi ni ba nyonok, ni boñok mam momasôna loñge, kayéle jam to jada li héñél bañ bé.
Yakôbô	59	1	5	Jon ibale mut ikété nan a nhañ pék, a ke ni bisu i bat yo Nyambe, inyule a nkébél bôt bobasôna i nya i nloo hihéga ibabé i yahal bo, ha nyen a’ kôhna yo.
Yakôbô	59	1	6	Ndi a téñbe i bat ni hémle, ngi pééna yo ki yo, inyule i mut a mpééna a yé kiki nnoñgo tuye le mbebi i nyuge, i ndéñghak ki to hee to hee.
Yakôbô	59	1	7	Ni maliga, i mut nu a bem bañ le a’ kôhna jam jo ki jo yak Yéhôva;
Yakôbô	59	1	8	A yé mut miñem ima, a ndeñg ikété manjel mé momasôna.
Yakôbô	59	1	9	Ndi mankéé nu a yé hiyeyeba hi mut a kon maséé le a mbédhana,
Yakôbô	59	1	10	yak ngwañ mut u kon maséé le u nsuhlana, inyule w’a tagbe kiki mbônji bikai.
Yakôbô	59	1	11	Inyule kiki hiañgaa hi mpam ni ngandak lék, hi lighak bibebela, mbônji yap i kwok, yak bilama gwap bi malak, hala ki nyen ngwañ mut w’a nyoi mu nyiña wé nkus.
Yakôbô	59	1	12	Maséé ni i mut a ntéñbe i hônba manoodana, inyule ngéda a mal lémél Nyambe, a’ kôhna ntut u niñ Yéhôva a bi bôn i bôt ba tiñi i gwés Nye.
Yakôbô	59	1	13	I ngéda manoodana, mut to wada a kal bañ le: “Nyambe nyen a noode me.” Inyule Nyambe a nla bé noodana ni mam mabe, to nyemede a noode bé mut hala.
Yakôbô	59	1	14	Ndi hiki mut a nkôhna manoodana ngéda minheña nwé nyemede mi ñôt nye, mi lop ki nye.
