book	book_id	chapter	verse	text
Yuda	65	1	1	Me Yuda, nkol u Yésu Kristô, ndi manyañ Yakôbô, me ntilna i bôt ba yé nséblak, ba Nyambe Tata a ngwés, ba bak ki ntéédaga inyu Yésu Kristô:
Yuda	65	1	2	Konangoo ni nsañ ni gwéha bi bôl i ngii nan.
Yuda	65	1	3	A bagwéha, to hala kiki me ban-ga ngôñ keñi i tilna bé inyu tohi yés bésbobasôna, me ntehe nseñ i tilna bé inyu ti bé makénd i kônde jo sañ inyu hémle i bi tina bapubhaga ngélé yada inyu ngélé yosôna.
Yuda	65	1	4	Me ntilna bé inyule ngim bôt i bi sooma ipôla nan, bôt le Bitilna bi bi pôdôl kôba le b’a kôhna mbagi ini. Ba yé bayan Nyambe ba ba ngwélél konangoo i mbuma ñañ i Nyambe wés inyu boñ mam mabe ngi wonyuu, ba tañbaga ki mpom mut nu a bi somb bés, hala wee Nwet wés le Yésu Kristô.
Yuda	65	1	5	To hala kiki ni ntibil yaga yi i mam mana momasôna, me nyéñ hôñlaha bé le ngéda Yéhôva a bi mal tohol litén jé i loñ Égiptô, a bi yik tjé i bôt ba bi unda le ba gwé bé hémle.
Yuda	65	1	6	Yak i biañgel bi bi tééda bé liyééne jap li bisu, ndi bi tjôô bañga yap liyééne, a bi leñ gwo i mok mi boga ikété jiibe likeñi inyu mbagi i hilo hikeñi.
Yuda	65	1	7	Nlélém jam ni Sôdôm lôñni Gômôra ni bitison bi bé kéña gwo, bi bi nai ni malal ma nyega, bi kôndge ndik yônôs ngôñ minsôn i i kôli bé. Bi bi kôhna mbagi nôgôs i hié hi boga, jon bi yé mabéhna inyu yés.
Yuda	65	1	8	Ndi to hala, Yak i bôt bana ba nhôiba ikété bieem, ba hindhak minsôn, ba yanak bôt ba gwé kunde i ngii yap, ba ôbhak ki môl ma bôt ba gwé lipém li Nyambe.
Yuda	65	1	9	Ndi ngéda ñane biañgel le Mikael a bi bana ndañ ni Nsohop, ba sôñnaga mim u Môsi, a bi noode bé pémés mbagi ikolba nye, to sol nye, ndi a bi kal le: “Yéhôva a kogse we.”
Yuda	65	1	10	To hala, bana bôt ba nsol mam momasôna ba ntibil bé nok. Ndi Yak ikété mam momasôna ba nok yaga, kiki binuga bi bi gwé bé yi, ba nke ni bisu i ôbôs bomede mu mam ma.
Yuda	65	1	11	Hala a yé ngoo ngandak inyu yap, inyule ba bi noñ njel Kain, ba pala ki jôp i njel malôga i Balam inyu kôhna nsaa, ba bi tjiba ki ikété bibañga bi ngolba bi Kôra!
Yuda	65	1	12	Bana bôt bon ba yé maaa ma sôli ikété lép i mangand manan ma gwéha ngéda ba nje lôñni bé, ba yé batééda mintômba ba ba njés bomede ibabé i kon woñi; ba yé ond i i gwé bé malép, i mbebi i ndéñgés bahoma bahoma; ba yé bie bi num bé matam ngéda yap, bi bi yé minwok ngélé iba, bi ba nup ni minkañ nwap;
Yuda	65	1	13	ba mpémés mam map ma mahindi ngi wonyuu kiki mangudga ma tuye ma mpémés mahus, ba yé tjôdôt di di gwé bé njel, jiibe likeñi li yé nkôôbaga inyu yap i boga.
Yuda	65	1	14	Ndi yak Énok, mut nu yônôs isaambok ibôdôl Adam, a pot kôba inyu yap ngéda a kal le: “Nuna-ki! Yéhôva a bi lo ni didun di didun di biañgel gwé bipubhaga
Yuda	65	1	15	inyu lona mbagi ikolba bobasôna, ni unda bayan Nyambe bobasôna le ba mbôk mbén inyu mam ma liyan Nyambe momasôna ba bi boñ i yan Nyambe, ni inyu mam ma bilim bibéba bi bôt bi nyan Nyambe bi bi pot ikolba nye.”
Yuda	65	1	16	Bana bôt ba yé bôt ba minhuñbe, bôt ba ntjelel inyu niñ yap, ba noñok ngôñ yap ibe, ba kumbuk manyo ni bibañga bikeñi, ba lémhak bipôdôl i yoña bôt inyu nseñ wap bomede.
Yuda	65	1	17	Ndi bé, a bagwéha, hoñlana bibañga bi pôda kôba ni baôma ba Nwet wés Yésu Kristô,
Yuda	65	1	18	kiki ba bé béna kal bé le: “I mangéda ma nsôk, bôt ba nol bape hiol ba mba, ba noñok ngôñ yap ibe inyu mam ma liyan Nyambe.”
Yuda	65	1	19	Bon ba nlona mbagla, ba niñ kiki binuga, ba gwé bé mbuu u Nyambe.
Yuda	65	1	20	Ndi bé, a bagwéha, lédhana bébomede ikété hémle nan i i nlôôha pubhaga, ni soohege ki ni mbuu mpubi,
Yuda	65	1	21	inyu tééda bébomede ikété gwéha Nyambe, ni bemek konangoo i Nwet wés Yésu Kristô i i nkena i niñ boga.
Yuda	65	1	22	Yak bahogi ba ba mpééna, kena ki ni bisu i kônôl bo ngoo;
Yuda	65	1	23	ni pala héya bo i hié inyu tohol bo. Ndi kena ni bisu i kônôl bape ngoo, ni boñok hala ni woñi, ni ook yak mahindi ma bibéba gwap le ma tihba bañ bé.
Yuda	65	1	24	Ndi inyu Nyambe nu a nla tat bé le ni baage bañ, nu a nla ki téé bé ngi liton li mahindi i bisu bi lipém jé ni maséé makeñi,
Yuda	65	1	25	inyu nu a yé mpom Nyambe wada ni Ntohol wés ni njel Yésu Kristô Nwet wés, lipém, énél, lipémba ni kunde bi ba ni nye ibôdôl yaga i boga, hanano, ikepam i boga. Amen.
