book	book_id	chapter	verse	text
Yôhanes	43	1	1	I bibôdle Bañga a bé, Bañga a bé lôñni Nyambe, Bañga a bé nyambe wada.
Yôhanes	43	1	2	Nyen a bé i bibôdle ni Nyambe.
Yôhanes	43	1	3	Mam momasôna ma bi lo i niñ ni njel yé; handugi ni njel yé, jam jo ki jo li bi lo bé i niñ. I jam li bi lôl
Yôhanes	43	1	4	ni njel yé li yé niñ, ndi niñ i bé mapubi ma bôt.
Yôhanes	43	1	5	Mapubi ma mbai ikété jiibe, ndi jiibe li bi yémbél bé mo.
Yôhanes	43	1	6	Nyambe a bi ep mut wada i jôl jé; jôl jé li bé le Yôhanes.
Yôhanes	43	1	7	I mut nu a bi lo kiki mut mbôgi le a bok mbôgi inyu mapubi, inyu boñ le mintén mi bôt nwominsôna mi hémle ni njel yé.
Yôhanes	43	1	8	Nye bé nyen a bé mapubi ma, ndi a bé lama bok mbôgi inyu mapubi ma.
Yôhanes	43	1	9	Bañga mapubi i i mbai inyu mintén mi bôt nwominsôna i bé bebee ni lo ikété nkoñ ’isi.
Yôhanes	43	1	10	A bé ikété nkoñ ’isi, nkoñ ’isi u bi lo i niñ ni njel yé, ndi nkoñ ’isi u bi yi bé nye.
Yôhanes	43	1	11	A bi lo i loñ yé yomede, ndi bôt bé ba bi neebe bé nye.
Yôhanes	43	1	12	Ndi i bôt bobasôna ba bi leege nye, a bi ti bo kunde i yila bon ba Nyambe, inyule ba bé unda le ba nhémle i jôl jé.
Yôhanes	43	1	13	Ndi ba bi gwéé bé ni njel matjél, to ni njel sômbôl i minsôn, to i mut binam, ndi ni njel Nyambe.
Yôhanes	43	1	14	Bañga a bi yoñ nyuu minsôn, a yén lôñni bés, di tehe ki lipém jé, lipém li mpom man nu a nlôl Yak isañ; a bé ki nyonok ni konangoo i mbuma ñañ i Nyambe lôñni maliga.
Yôhanes	43	1	15	(Yôhanes a bi bok mbôgi inyu yé, ñ, a lond le: “Inyu nunu nyen me bi kal le: ‘Nu a nlo me i mbus a bi bôk me i bisu inyule a bé niñ ilole me ngwéé.’”)
Yôhanes	43	1	16	Ni njel yé, bésbobasôna di bi kôhna konangoo i mbuma ñañ i nya i nloo hihéga inyule a yé nyonok ni konangoo i mbuma ñañ.
Yôhanes	43	1	17	Inyule Nyambe a bi ti Mbén ni njel Môsi, ndi konangoo i mbuma ñañ lôñni maliga bi bi lo ni njel Yésu Kristô.
Yôhanes	43	1	18	Mut nye ki nye a ma tehe bé Nyambe; i nyambe nu a yé mpom man, a bak ipañ Isañ, nyen a bi toñle bés njee Nyambe a yé.
Yôhanes	43	1	19	Ini mbôgi yon Yôhanes a bi ti i ngéda Lôk Yuda i bi ep biprisi ni Lôk Lévi, ba lôlak i Yérusalem, inyu bat nye le: “U yé njee?”
Yôhanes	43	1	20	A bi tibil timbhe mbadga yap, a pahal yaga le: “Me ta bé Kristô.”
Yôhanes	43	1	21	Ba bat ki nye le: “U yé ni njee? Baa u yé Éliya?” A timbhe le: “Me ta bé me nye.” Ba bat le: “Baa u yé ni Mpôdôl nu a nlama lo?” A timbhe le: “To!”
Yôhanes	43	1	22	Jon ba bi kal nye le: “U yé ni njee? Kal bés inyu boñ le di ti i bôt ba ñom bés ndimbhe. Kii u nkal inyu yoñ wemede?”
Yôhanes	43	1	23	A kal le: “Me yé kiñ i mut a nlond i ñoñ le: ‘Sañlana njel i Yéhôva,’ kiki mpôdôl Yésaya a bi pot.”
Yôhanes	43	1	24	Ndi Farisai yon i bi ep i bôt ba.
Yôhanes	43	1	25	Jon ba bi bat nye mbadga, ba kal nye le: “Inyuki ni u nsôble bôt ibale u ta bé Kristô, to Éliya, to Mpôdôl nu a nlama lo?”
Yôhanes	43	1	26	Yôhanes a timbhe bo le: “Me nsôble ikété malép. Ndi wada a téé ipôla nan, nu ni nyi bé,
Yôhanes	43	1	27	nyen a nlo i mbus yem, me kôli bé to hohol minkai mi bitamb gwé.”
Yôhanes	43	1	28	I mam mana ma bi tagbe i Bétania nu a yé uu ngwañ u Yordan, i homa Yôhanes a bé sôble bôt.
Yôhanes	43	1	29	I kel i bé noñ ha, a tehe Yésu a nlo nye ipañ, a kal le: “Nuna-ki! Man ntômba nu Nyambe nu a nhéya béba ikété nkoñ ’isi!
Yôhanes	43	1	30	Inyu yé nyen me bi kal le: ‘I mut a nlo me i mbus a bi bôk me i bisu, inyule a bé niñ ilole me ngwéé.’
Yôhanes	43	1	31	To memede me bé yi bé nye, ndi i njom i bi tinde me i sôble bôt ikété malép i bé le bôt ba yi nye i mbamba ikété Israel.”
Yôhanes	43	1	32	Yôhanes a bi bok ki mbôgi, a kal le: “Me bi tehe mbuu mpubi u nsôs kiki hibeñ, u lôlak i ngii, u yén i ngii yé.
Yôhanes	43	1	33	To memede me bé yi bé nye, ndi Nu a bi ep me i sôble bôt ikété malép a bi kal me le: ‘Nu ni nu u ntehe mbuu mpubi u nsôs, u yén i ngii yé, nyen a nsôble ni mbuu mpubi.’
Yôhanes	43	1	34	Me bi tehe i jam li, jon me bi bok mbôgi le nyen a yé Man Nyambe.”
Yôhanes	43	1	35	Yak i kel i bé noñ ha, Yôhanes a bé a téé lôñni banigil bé iba,
Yôhanes	43	1	36	kiki a bé nun Yésu a nke, a kal le: “Nuna-ki! Man ntômba nu Nyambe!”
Yôhanes	43	1	37	I ngéda bana banigil iba ba bi nok nye a mpot hala, ba noñ Yésu.
Yôhanes	43	1	38	Ha nyen Yésu a bi hielba, a tehe bo ba noñ nye, a kal bo le: “Ni nyéñ kii?” Ba kal nye le: “A Rabi (hala a nkobla le “A Lét”), u nyééne hee?”
