book_id,chapter,verse,text_bas,text_en
57,1,1,"Me Paul, mut mok inyu Kristô Yésu, ni Timôtéô mankéé wés, di ntilna Filémôn nu a yé so ngwelnson wés nu gwéha,","Paul, a prisoner for the sake of Christ Jesus, and Timothy, our brother, to Philemon, our beloved one and fellow worker,"
57,1,2,"ni Apia mankéé wés nu muda, ni Arkipô nu a yé sônda i Kristô lôñ yada ni bés, ni likoda li yé i ndap yoñ:","and to Apphia, our sister, and to Archippus, our fellow soldier, and to the congregation that is in your house:"
57,1,3,Konangoo i mbuma ñañ ni nsañ bi bi nlôl ni Nyambe Tata wés yak ni Nwet le Yésu Kristô bi ba ni bé.,May YOU people have undeserved kindness and peace from God our Father and the Lord Jesus Christ.
57,1,4,"Hiki ngéda, me nti Nyambe mayéga ngéda me nsima we ikété masoohe mem,","I always thank my God when I make mention of you in my prayers,"
57,1,5,hala kiki me nkônde nok ngan i hémle yoñ ni gwéha u gwé inyu Nwet le Yésu ni inyu bapubhaga bobasôna.,as I keep hearing of your love and faith which you have toward the Lord Jesus and toward all the holy ones;
57,1,6,Me nsoohe le hémle i i ñat we ni bahémle bape i tinde we i neebe hiki loñge jam di nkôhna ni njel Kristô.,in order that the sharing of your faith may go into action by your acknowledging of every good thing among us as related to Christ.
57,1,7,"Inyule me bi kôhna ngandak maséé ni hogbe ngéda me bi nok ngan i gwéha yoñ, a mankéé, inyule miñem mi bapubhaga mi bi témb mi bana ngui ni njel yoñ.","For I got much joy and comfort over your love, because the tender affections of the holy ones have been refreshed through you, brother."
57,1,8,"Inyu njom ini nyen, to hala kiki me gwé kunde keñi i i nlôl ni Kristô i ti we oda le u boñ jam li kôli,","For this very reason, though I have great freeness of speech in connection with Christ to order you to do what is proper,"
57,1,9,"me nsoohe we nsoohege inyu gwéha, inyule me Paul, me yé mañ mut, me yé ki mut mok hanano inyu Kristô Yésu.","I am exhorting you rather on the basis of love, seeing that I am such as I am, Paul an aged man, yes, now also a prisoner for the sake of Christ Jesus;"
57,1,10,Me nsoohe we inyu man wem Ônésimô. Me bi yila kiki isañ ikété ndap mok.,"I am exhorting you concerning my child, to whom I became a father while in my prison bonds, Onesimus,"
57,1,11,"I ngéda bisu, a bééne bé we nseñ to ndék, ndi nano a yéne we ni me nseñ.",formerly useless to you but now useful to you and to me.
57,1,12,"Me yé i timbis nye i weeni, ñ, nye yaga nu me ngwés ngandak.","This very one I am sending back to you, yes, him, that is, my own tender affections."
57,1,13,"Ngôñ yem i yé le me tééda nye ipañ yem, inyu boñ le a gwélél me nson kiki wemede u bak le u gwélél me nson ntel wonsôna me yé i ndap mok inyu ñañ nlam.",I would like to hold him back for myself that in place of you he might keep on ministering to me in the prison bonds I bear for the sake of the good news.
57,1,14,"Ndi me nsômbôl bé boñ jam jo ki jo ibabé i bat we kunde, inyu boñ le u bôñôl bañ me i loñge jam ini wengoñle u yé nyégsaga, ndi ni ñem woñ wonsôna.","But without your consent I do not want to do anything, so that your good act may be, not as under compulsion, but of your own free will."
