book	book_id	chapter	verse	text
1 Peter	60	1	1	Peter, an apostle of Jesus Christ, to the temporary residents scattered about in Pontus, Galatia, Cappadocia, Asia, and Bithynia, to the ones chosen
1 Peter	60	1	2	according to the foreknowledge of God the Father, with sanctification by the spirit, for the purpose of their being obedient and sprinkled with the blood of Jesus Christ: May undeserved kindness and peace be increased to YOU.
1 Peter	60	1	3	Blessed be the God and Father of our Lord Jesus Christ, for according to his great mercy he gave us a new birth to a living hope through the resurrection of Jesus Christ from the dead,
1 Peter	60	1	4	to an incorruptible and undefiled and unfading inheritance. It is reserved in the heavens for YOU,
1 Peter	60	1	5	who are being safeguarded by God’s power through faith for a salvation ready to be revealed in the last period of time.
1 Peter	60	1	6	In this fact YOU are greatly rejoicing, though for a little while at present, if it must be, YOU have been grieved by various trials,
1 Peter	60	1	7	in order that the tested quality of YOUR faith, of much greater value than gold that perishes despite its being proved by fire, may be found a cause for praise and glory and honor at the revelation of Jesus Christ.
1 Peter	60	1	8	Though YOU never saw him, YOU love him. Though YOU are not looking upon him at present, yet YOU exercise faith in him and are greatly rejoicing with an unspeakable and glorified joy,
1 Peter	60	1	9	as YOU receive the end of YOUR faith, the salvation of YOUR souls.
1 Peter	60	1	10	Concerning this very salvation a diligent inquiry and a careful search were made by the prophets who prophesied about the undeserved kindness meant for YOU.
1 Peter	60	1	11	They kept on investigating what particular season or what sort of season the spirit in them was indicating concerning Christ when it was bearing witness beforehand about the sufferings for Christ and about the glories to follow these.
1 Peter	60	1	12	It was revealed to them that, not to themselves, but to YOU, they were ministering the things that have now been announced to YOU through those who have declared the good news to YOU with holy spirit sent forth from heaven. Into these very things angels are desiring to peer.
1 Peter	60	1	13	Hence brace up YOUR minds for activity, keep YOUR senses completely; set YOUR hope upon the undeserved kindness that is to be brought to YOU at the revelation of Jesus Christ.
1 Peter	60	1	14	As obedient children, quit being fashioned according to the desires YOU formerly had in YOUR ignorance,
1 Peter	60	1	15	but, in accord with the Holy One who called YOU, do YOU also become holy yourselves in all YOUR conduct,
1 Peter	60	1	16	because it is written: “YOU must be holy, because I am holy.”
1 Peter	60	1	17	Furthermore, if YOU are calling upon the Father who judges impartially according to each one’s work, conduct yourselves with fear during the time of YOUR alien residence.
1 Peter	60	1	18	For YOU know that it was not with corruptible things, with silver or gold, that YOU were delivered from YOUR fruitless form of conduct received by tradition from YOUR forefathers.
1 Peter	60	1	19	But it was with precious blood, like that of an unblemished and spotless lamb, even Christ’s.
1 Peter	60	1	20	True, he was foreknown before the founding of the world, but he was made manifest at the end of the times for the sake of YOU
1 Peter	60	1	21	who through him are believers in God, the one who raised him up from the dead and gave him glory; so that YOUR faith and hope might be in God.
1 Peter	60	1	22	Now that YOU have purified YOUR souls by YOUR obedience to the truth with unhypocritical brotherly affection as the result, love one another intensely from the heart.
1 Peter	60	1	23	For YOU have been given a new birth, not by corruptible, but by incorruptible reproductive seed, through the word of the living and enduring God.
