book	book_id	chapter	verse	text
2 Corinthians	47	1	1	Paul, an apostle of Christ Jesus through God’s will, and Timothy our brother to the congregation of God that is in Corinth, together with all the holy ones who are in all of Achaia:
2 Corinthians	47	1	2	May YOU have undeserved kindness and peace from God our Father and the Lord Jesus Christ.
2 Corinthians	47	1	3	Blessed be the God and Father of our Lord Jesus Christ, the Father of tender mercies and the God of all comfort,
2 Corinthians	47	1	4	who comforts us in all our tribulation, that we may be able to comfort those in any sort of tribulation through the comfort with which we ourselves are being comforted by God.
2 Corinthians	47	1	5	For just as the sufferings for the Christ abound in us, so the comfort we get also abounds through the Christ.
2 Corinthians	47	1	6	Now whether we are in tribulation, it is for YOUR comfort and salvation; or whether we are being comforted, it is for YOUR comfort that operates to make YOU endure the same sufferings that we also suffer.
2 Corinthians	47	1	7	And so our hope for YOU is unwavering, knowing as we do that, just as YOU are sharers of the sufferings, in the same way YOU will also share the comfort.
2 Corinthians	47	1	8	For we do not wish YOU to be ignorant, brothers, about the tribulation that happened to us in the district of Asia, that we were under extreme pressure beyond our strength, so that we were very uncertain even of our lives.
2 Corinthians	47	1	9	In fact, we felt within ourselves that we had received the sentence of death. This was that we might have our trust, not in ourselves, but in the God who raises up the dead.
2 Corinthians	47	1	10	From such a great thing as death he did rescue us and will rescue us; and our hope is in him that he will also rescue us further.
2 Corinthians	47	1	11	YOU also can help along by YOUR supplication for us, in order that thanks may be given by many in our behalf for what is kindly given to us due to many prayerful faces.
2 Corinthians	47	1	12	For the thing we boast of is this, to which our conscience bears witness, that with holiness and godly sincerity, not with fleshly wisdom but with God’s undeserved kindness, we have conducted ourselves in the world, but more especially toward YOU.
2 Corinthians	47	1	13	For we are really not writing YOU things except those which YOU well know or also recognize; and which I hope YOU will continue to recognize to the end,
2 Corinthians	47	1	14	just as YOU have also recognized, to an extent, that we are a cause for YOU to boast, just as YOU will also be for us in the day of our Lord Jesus.
2 Corinthians	47	1	15	So, with this confidence, I was intending before to come to YOU, that YOU might have a second occasion for joy,
2 Corinthians	47	1	16	and after a stopover with YOU to go to Macedonia, and to come back from Macedonia to YOU and be conducted partway by YOU to Judea.
2 Corinthians	47	1	17	Well, when I had such an intention, I did not indulge in any lightness, did I? Or what things I purpose, do I purpose them according to the flesh, that with me there should be “Yes, Yes” and “No, No”?
2 Corinthians	47	1	18	But God can be relied upon that our speech addressed to YOU is not Yes and yet No.
2 Corinthians	47	1	19	For the Son of God, Christ Jesus, who was preached among YOU through us, that is, through me and Silvanus and Timothy, did not become Yes and yet No, but Yes has become Yes in his case.
2 Corinthians	47	1	20	For no matter how many the promises of God are, they have become Yes by means of him. Therefore also through him is the “Amen” said to God for glory through us.
2 Corinthians	47	1	21	But he who guarantees that YOU and we belong to Christ and he who has anointed us is God.
2 Corinthians	47	1	22	He has also put his seal upon us and has given us the token of what is to come, that is, the spirit, in our hearts.
2 Corinthians	47	1	23	Now I call upon God as a witness against my own soul that it is to spare YOU that I have not yet come to Corinth.
2 Corinthians	47	1	24	Not that we are the masters over YOUR faith, but we are fellow workers for YOUR joy, for it is by YOUR faith that YOU are standing.
book	book_id	chapter	verse	text
2 Corinthians	47	2	1	For this is what I have decided for myself, not to come to YOU again in sadness.
2 Corinthians	47	2	2	For if I make YOU sad, who indeed is there to cheer me except the one that is made sad by me?
2 Corinthians	47	2	3	And so I wrote this very thing, that, when I come, I may not get sad because of those over whom I ought to rejoice; because I have confidence in all of YOU that the joy I have is that of all of YOU.
2 Corinthians	47	2	4	For out of much tribulation and anguish of heart I wrote YOU with many tears, not that YOU might be saddened, but that YOU might know the love that I have more especially for YOU.
2 Corinthians	47	2	5	Now if anyone has caused sadness, he has saddened, not me, but all of YOU to an extent—not to be too harsh in what I say.
2 Corinthians	47	2	6	This rebuke given by the majority is sufficient for such a man,
2 Corinthians	47	2	7	so that, on the contrary now, YOU should kindly forgive and comfort him, that somehow such a man may not be swallowed up by his being overly sad.
2 Corinthians	47	2	8	Therefore I exhort YOU to confirm YOUR love for him.
2 Corinthians	47	2	9	For to this end also I write to ascertain the proof of YOU, whether YOU are obedient in all things.
2 Corinthians	47	2	10	Anything YOU kindly forgive anyone, I do too. In fact, as for me, whatever I have kindly forgiven, if I have kindly forgiven anything, it has been for YOUR sakes in Christ’s sight;
2 Corinthians	47	2	11	that we may not be overreached by Satan, for we are not ignorant of his designs.
2 Corinthians	47	2	12	Now when I arrived in Troas to declare the good news about the Christ, and a door was opened to me in the Lord,
2 Corinthians	47	2	13	I got no relief in my spirit on account of not finding Titus my brother, but I said good-bye to them and departed for Macedonia.
2 Corinthians	47	2	14	But thanks be to God who always leads us in a triumphal procession in company with the Christ and makes the odor of the knowledge of him perceptible through us in every place!
2 Corinthians	47	2	15	For to God we are a sweet odor of Christ among those who are being saved and among those who are perishing;
2 Corinthians	47	2	16	to the latter ones an odor issuing from death to death, to the former ones an odor issuing from life to life. And who is adequately qualified for these things?
2 Corinthians	47	2	17	We are; for we are not peddlers of the word of God as many men are, but as out of sincerity, yes, as sent from God, under God’s view, in company with Christ, we are speaking.
book	book_id	chapter	verse	text
2 Corinthians	47	3	1	Are we starting again to recommend ourselves? Or do we, perhaps, like some men, need letters of recommendation to YOU or from YOU?
