book	book_id	chapter	verse	text
Acts	44	1	1	The first account, O Theophilus, I composed about all the things Jesus started both to do and to teach,
Acts	44	1	2	until the day that he was taken up, after he had given commandment through holy spirit to the apostles whom he chose.
Acts	44	1	3	To these also by many positive proofs he showed himself alive after he had suffered, being seen by them throughout forty days and telling the things about the kingdom of God.
Acts	44	1	4	And while he was meeting with them he gave them the orders: “Do not withdraw from Jerusalem, but keep waiting for what the Father has promised, about which YOU heard from me;
Acts	44	1	5	because John, indeed, baptized with water, but YOU will be baptized in holy spirit not many days after this.”
Acts	44	1	6	When, now, they had assembled, they went asking him: “Lord, are you restoring the kingdom to Israel at this time?”
Acts	44	1	7	He said to them: “It does not belong to YOU to get knowledge of the times or seasons which the Father has placed in his own jurisdiction;
Acts	44	1	8	but YOU will receive power when the holy spirit arrives upon YOU, and YOU will be witnesses of me both in Jerusalem and in all Judea and Samaria and to the most distant part of the earth.”
Acts	44	1	9	And after he had said these things, while they were looking on, he was lifted up and a cloud caught him up from their vision.
Acts	44	1	10	And as they were gazing into the sky while he was on his way, also, look! two men in white garments stood alongside them,
Acts	44	1	11	and they said: “Men of Galilee, why do YOU stand looking into the sky? This Jesus who was received up from YOU into the sky will come thus in the same manner as YOU have beheld him going into the sky.”
Acts	44	1	12	Then they returned to Jerusalem from a mountain called the Mount of Olives, which is near Jerusalem, being a sabbath day’s journey away.
Acts	44	1	13	So, when they had entered, they went up into the upper chamber, where they were staying, Peter as well as John and James and Andrew, Philip and Thomas, Bartholomew and Matthew, James the son of Alphaeus and Simon the zealous one, and Judas the son of James.
Acts	44	1	14	With one accord all these were persisting in prayer, together with some women and Mary the mother of Jesus and with his brothers.
Acts	44	1	15	Now during these days Peter rose up in the midst of the brothers and said (the crowd of persons was all together about one hundred and twenty):
Acts	44	1	16	“Men, brothers, it was necessary for the scripture to be fulfilled, which the holy spirit spoke beforehand by David’s mouth about Judas, who became a guide to those who arrested Jesus,
Acts	44	1	17	because he had been numbered among us and he obtained a share in this ministry.
Acts	44	1	18	(This very man, therefore, purchased a field with the wages for unrighteousness, and pitching head foremost he noisily burst in his midst and all his intestines were poured out.
Acts	44	1	19	It also became known to all the inhabitants of Jerusalem, so that that field was called in their language Akeldama, that is, Field of Blood.)
Acts	44	1	20	For it is written in the book of Psalms, ‘Let his lodging place become desolate, and let there be no dweller in it,’ and, ‘His office of oversight let someone else take.’
Acts	44	1	21	It is therefore necessary that of the men that assembled with us during all the time in which the Lord Jesus went in and out among us,
Acts	44	1	22	starting with his baptism by John and until the day he was received up from us, one of these men should become a witness with us of his resurrection.”
Acts	44	1	23	So they put up two, Joseph called Barsabbas, who was surnamed Justus, and Matthias.
Acts	44	1	24	And they prayed and said: “You, O Jehovah, who know the hearts of all, designate which one of these two men you have chosen,
Acts	44	1	25	to take the place of this ministry and apostleship, from which Judas deviated to go to his own place.”
