book	book_id	chapter	verse	text
Ephesians	49	1	1	Paul, an apostle of Christ Jesus through God’s will, to the holy ones who are in Ephesus and faithful ones in union with Christ Jesus:
Ephesians	49	1	2	May YOU have undeserved kindness and peace from God our Father and the Lord Jesus Christ.
Ephesians	49	1	3	Blessed be the God and Father of our Lord Jesus Christ, for he has blessed us with every spiritual blessing in the heavenly places in union with Christ,
Ephesians	49	1	4	just as he chose us in union with him before the founding of the world, that we should be holy and without blemish before him in love.
Ephesians	49	1	5	For he foreordained us to the adoption through Jesus Christ as sons to himself, according to the good pleasure of his will,
Ephesians	49	1	6	in praise of his glorious undeserved kindness which he kindly conferred upon us by means of his loved one.
Ephesians	49	1	7	By means of him we have the release by ransom through the blood of that one, yes, the forgiveness of our trespasses, according to the riches of his undeserved kindness.
Ephesians	49	1	8	This he caused to abound toward us in all wisdom and good sense,
Ephesians	49	1	9	in that he made known to us the sacred secret of his will. It is according to his good pleasure which he purposed in himself
Ephesians	49	1	10	for an administration at the full limit of the appointed times, namely, to gather all things together again in the Christ, the things in the heavens and the things on the earth. Yes, in him,
Ephesians	49	1	11	in union with whom we were also assigned as heirs, in that we were foreordained according to the purpose of him who operates all things according to the way his will counsels,
Ephesians	49	1	12	that we should serve for the praise of his glory, we who have been first to hope in the Christ.
Ephesians	49	1	13	But YOU also hoped in him after YOU heard the word of truth, the good news about YOUR salvation. By means of him also, after YOU believed, YOU were sealed with the promised holy spirit,
Ephesians	49	1	14	which is a token in advance of our inheritance, for the purpose of releasing by a ransom God’s own possession, to his glorious praise.
Ephesians	49	1	15	That is why I also, since I have heard of the faith YOU have in the Lord Jesus and toward all the holy ones,
Ephesians	49	1	16	do not cease giving thanks for YOU. I continue mentioning YOU in my prayers,
Ephesians	49	1	17	that the God of our Lord Jesus Christ, the Father of glory, may give YOU a spirit of wisdom and of revelation in the accurate knowledge of him;
Ephesians	49	1	18	the eyes of YOUR heart having been enlightened, that YOU may know what is the hope to which he called YOU, what the glorious riches are which he holds as an inheritance for the holy ones,
Ephesians	49	1	19	and what the surpassing greatness of his power is toward us believers. It is according to the operation of the mightiness of his strength,
Ephesians	49	1	20	with which he has operated in the case of the Christ when he raised him up from the dead and seated him at his right hand in the heavenly places,
Ephesians	49	1	21	far above every government and authority and power and lordship and every name named, not only in this system of things, but also in that to come.
Ephesians	49	1	22	He also subjected all things under his feet, and made him head over all things to the congregation,
Ephesians	49	1	23	which is his body, the fullness of him who fills up all things in all.
book	book_id	chapter	verse	text
Ephesians	49	2	1	Furthermore, it is YOU God made alive though YOU were dead in YOUR trespasses and sins,
Ephesians	49	2	2	in which YOU at one time walked according to the system of things of this world, according to the ruler of the authority of the air, the spirit that now operates in the sons of disobedience.
Ephesians	49	2	3	Yes, among them we all at one time conducted ourselves in harmony with the desires of our flesh, doing the things willed by the flesh and the thoughts, and we were naturally children of wrath even as the rest.
Ephesians	49	2	4	But God, who is rich in mercy, for his great love with which he loved us,
Ephesians	49	2	5	made us alive together with the Christ, even when we were dead in trespasses—by undeserved kindness YOU have been saved—
Ephesians	49	2	6	and he raised us up together and seated us together in the heavenly places in union with Christ Jesus,
Ephesians	49	2	7	that in the coming systems of things there might be demonstrated the surpassing riches of his undeserved kindness in his graciousness toward us in union with Christ Jesus.
Ephesians	49	2	8	By this undeserved kindness, indeed, YOU have been saved through faith; and this not owing to YOU, it is God’s gift.
Ephesians	49	2	9	No, it is not owing to works, in order that no man should have ground for boasting.
Ephesians	49	2	10	For we are a product of his work and were created in union with Christ Jesus for good works, which God prepared in advance for us to walk in them.
Ephesians	49	2	11	Therefore keep bearing in mind that formerly YOU were people of the nations as to flesh; “uncircumcision” YOU were called by that which is called “circumcision” made in the flesh with hands—
Ephesians	49	2	12	that YOU were at that particular time without Christ, alienated from the state of Israel and strangers to the covenants of the promise, and YOU had no hope and were without God in the world.
Ephesians	49	2	13	But now in union with Christ Jesus YOU who were once far off have come to be near by the blood of the Christ.
Ephesians	49	2	14	For he is our peace, he who made the two parties one and destroyed the wall in between that fenced them off.
Ephesians	49	2	15	By means of his flesh he abolished the enmity, the Law of commandments consisting in decrees, that he might create the two peoples in union with himself into one new man and make peace;
Ephesians	49	2	16	and that he might fully reconcile both peoples in one body to God through the torture stake, because he had killed off the enmity by means of himself.
Ephesians	49	2	17	And he came and declared the good news of peace to YOU, the ones far off, and peace to those near,
Ephesians	49	2	18	because through him we, both peoples, have the approach to the Father by one spirit.
Ephesians	49	2	19	Certainly, therefore, YOU are no longer strangers and alien residents, but YOU are fellow citizens of the holy ones and are members of the household of God,
Ephesians	49	2	20	and YOU have been built up upon the foundation of the apostles and prophets, while Christ Jesus himself is the foundation cornerstone.
Ephesians	49	2	21	In union with him the whole building, being harmoniously joined together, is growing into a holy temple for Jehovah.
Ephesians	49	2	22	In union with him YOU, too, are being built up together into a place for God to inhabit by spirit.
book	book_id	chapter	verse	text
Ephesians	49	3	1	On account of this I, Paul, the prisoner of Christ Jesus in behalf of YOU, the people of the nations—
Ephesians	49	3	2	if, really, YOU have heard about the stewardship of the undeserved kindness of God that was given me with YOU in view,
Ephesians	49	3	3	that by way of a revelation the sacred secret was made known to me, just as I wrote previously in brief.
Ephesians	49	3	4	In the face of this YOU, when YOU read this, can realize the comprehension I have in the sacred secret of the Christ.
Ephesians	49	3	5	In other generations this secret was not made known to the sons of men as it has now been revealed to his holy apostles and prophets by spirit,
Ephesians	49	3	6	namely, that people of the nations should be joint heirs and fellow members of the body and partakers with us of the promise in union with Christ Jesus through the good news.
Ephesians	49	3	7	I became a minister of this according to the free gift of the undeserved kindness of God that was given me according to the way his power operates.
Ephesians	49	3	8	To me, a man less than the least of all holy ones, this undeserved kindness was given, that I should declare to the nations the good news about the unfathomable riches of the Christ
Ephesians	49	3	9	and should make men see how the sacred secret is administered which has from the indefinite past been hidden in God, who created all things.
Ephesians	49	3	10	This was to the end that now to the governments and the authorities in the heavenly places there might be made known through the congregation the greatly diversified wisdom of God,
Ephesians	49	3	11	according to the eternal purpose that he formed in connection with the Christ, Jesus our Lord,
Ephesians	49	3	12	by means of whom we have this freeness of speech and an approach with confidence through our faith in him.
Ephesians	49	3	13	Wherefore I ask YOU not to give up on account of these tribulations of mine in YOUR behalf, for these mean glory for YOU.
Ephesians	49	3	14	On account of this I bend my knees to the Father,
Ephesians	49	3	15	to whom every family in heaven and on earth owes its name,
Ephesians	49	3	16	to the end that he may grant YOU according to the riches of his glory to be made mighty in the man YOU are inside with power through his spirit,
Ephesians	49	3	17	to have the Christ dwell through YOUR faith in YOUR hearts with love; that YOU may be rooted and established on the foundation,
Ephesians	49	3	18	in order that YOU may be thoroughly able to grasp mentally with all the holy ones what is the breadth and length and height and depth,
Ephesians	49	3	19	and to know the love of the Christ which surpasses knowledge, that YOU may be filled with all the fullness that God gives.
Ephesians	49	3	20	Now to the one who can, according to his power which is operating in us, do more than superabundantly beyond all the things we ask or conceive,
Ephesians	49	3	21	to him be the glory by means of the congregation and by means of Christ Jesus to all generations forever and ever. Amen.
book	book_id	chapter	verse	text
Ephesians	49	4	1	I, therefore, the prisoner in the Lord, entreat YOU to walk worthily of the calling with which YOU were called,
Ephesians	49	4	2	with complete lowliness of mind and mildness, with long-suffering, putting up with one another in love,
Ephesians	49	4	3	earnestly endeavoring to observe the oneness of the spirit in the uniting bond of peace.
Ephesians	49	4	4	One body there is, and one spirit, even as YOU were called in the one hope to which YOU were called;
Ephesians	49	4	5	one Lord, one faith, one baptism;
Ephesians	49	4	6	one God and Father of all persons, who is over all and through all and in all.
Ephesians	49	4	7	Now to each one of us undeserved kindness was given according to how the Christ measured out the free gift.
Ephesians	49	4	8	Wherefore he says: “When he ascended on high he carried away captives; he gave gifts in men.”
Ephesians	49	4	9	Now the expression “he ascended,” what does it mean but that he also descended into the lower regions, that is, the earth?
Ephesians	49	4	10	The very one that descended is also the one that ascended far above all the heavens, that he might give fullness to all things.
Ephesians	49	4	11	And he gave some as apostles, some as prophets, some as evangelizers, some as shepherds and teachers,
Ephesians	49	4	12	with a view to the readjustment of the holy ones, for ministerial work, for the building up of the body of the Christ,
Ephesians	49	4	13	until we all attain to the oneness in the faith and in the accurate knowledge of the Son of God, to a full-grown man, to the measure of stature that belongs to the fullness of the Christ;
Ephesians	49	4	14	in order that we should no longer be babes, tossed about as by waves and carried hither and thither by every wind of teaching by means of the trickery of men, by means of cunning in contriving error.
Ephesians	49	4	15	But speaking the truth, let us by love grow up in all things into him who is the head, Christ.
Ephesians	49	4	16	From him all the body, by being harmoniously joined together and being made to cooperate through every joint that gives what is needed, according to the functioning of each respective member in due measure, makes for the growth of the body for the building up of itself in love.
Ephesians	49	4	17	This, therefore, I say and bear witness to in the Lord, that YOU no longer go on walking just as the nations also walk in the unprofitableness of their minds,
Ephesians	49	4	18	while they are in darkness mentally, and alienated from the life that belongs to God, because of the ignorance that is in them, because of the insensibility of their hearts.
Ephesians	49	4	19	Having come to be past all moral sense, they gave themselves over to loose conduct to work uncleanness of every sort with greediness.
Ephesians	49	4	20	But YOU did not learn the Christ to be so,
Ephesians	49	4	21	provided, indeed, that YOU heard him and were taught by means of him, just as truth is in Jesus,
Ephesians	49	4	22	that YOU should put away the old personality which conforms to YOUR former course of conduct and which is being corrupted according to his deceptive desires;
Ephesians	49	4	23	but that YOU should be made new in the force actuating YOUR mind,
Ephesians	49	4	24	and should put on the new personality which was created according to God’s will in true righteousness and loyalty.
Ephesians	49	4	25	Wherefore, now that YOU have put away falsehood, speak truth each one of YOU with his neighbor, because we are members belonging to one another.
Ephesians	49	4	26	Be wrathful, and yet do not sin; let the sun not set with YOU in a provoked state,
Ephesians	49	4	27	neither allow place for the Devil.
Ephesians	49	4	28	Let the stealer steal no more, but rather let him do hard work, doing with his hands what is good work, that he may have something to distribute to someone in need.
Ephesians	49	4	29	Let a rotten saying not proceed out of YOUR mouth, but whatever saying is good for building up as the need may be, that it may impart what is favorable to the hearers.
Ephesians	49	4	30	Also, do not be grieving God’s holy spirit, with which YOU have been sealed for a day of releasing by ransom.
Ephesians	49	4	31	Let all malicious bitterness and anger and wrath and screaming and abusive speech be taken away from YOU along with all badness.
Ephesians	49	4	32	But become kind to one another, tenderly compassionate, freely forgiving one another just as God also by Christ freely forgave YOU.
book	book_id	chapter	verse	text
Ephesians	49	5	1	Therefore, become imitators of God, as beloved children,
Ephesians	49	5	2	and go on walking in love, just as the Christ also loved YOU and delivered himself up for YOU as an offering and a sacrifice to God for a sweet-smelling odor.
Ephesians	49	5	3	Let fornication and uncleanness of every sort or greediness not even be mentioned among YOU, just as it befits holy people;
Ephesians	49	5	4	neither shameful conduct nor foolish talking nor obscene jesting, things which are not becoming, but rather the giving of thanks.
Ephesians	49	5	5	For YOU know this, recognizing it for yourselves, that no fornicator or unclean person or greedy person—which means being an idolater—has any inheritance in the kingdom of the Christ and of God.
Ephesians	49	5	6	Let no man deceive YOU with empty words, for because of the aforesaid things the wrath of God is coming upon the sons of disobedience.
Ephesians	49	5	7	Therefore do not become partakers with them;
Ephesians	49	5	8	for YOU were once darkness, but YOU are now light in connection with the Lord. Go on walking as children of light,
Ephesians	49	5	9	for the fruitage of the light consists of every sort of goodness and righteousness and truth.
Ephesians	49	5	10	Keep on making sure of what is acceptable to the Lord;
Ephesians	49	5	11	and quit sharing with them in the unfruitful works that belong to the darkness, but, rather, even be reproving them,
Ephesians	49	5	12	for the things that take place in secret by them it is shameful even to relate.
Ephesians	49	5	13	Now all the things that are being reproved are made manifest by the light, for everything that is being made manifest is light.
Ephesians	49	5	14	Wherefore he says: “Awake, O sleeper, and arise from the dead, and the Christ will shine upon you.”
Ephesians	49	5	15	So keep strict watch that how YOU walk is not as unwise but as wise persons,
Ephesians	49	5	16	buying out the opportune time for yourselves, because the days are wicked.
Ephesians	49	5	17	On this account cease becoming unreasonable, but go on perceiving what the will of Jehovah is.
Ephesians	49	5	18	Also, do not be getting drunk with wine, in which there is debauchery, but keep getting filled with spirit,
Ephesians	49	5	19	speaking to yourselves with psalms and praises to God and spiritual songs, singing and accompanying yourselves with music in YOUR hearts to Jehovah,
Ephesians	49	5	20	in the name of our Lord Jesus Christ giving thanks always for all things to our God and Father.
Ephesians	49	5	21	Be in subjection to one another in fear of Christ.
Ephesians	49	5	22	Let wives be in subjection to their husbands as to the Lord,
Ephesians	49	5	23	because a husband is head of his wife as the Christ also is head of the congregation, he being a savior of this body.
Ephesians	49	5	24	In fact, as the congregation is in subjection to the Christ, so let wives also be to their husbands in everything.
Ephesians	49	5	25	Husbands, continue loving YOUR wives, just as the Christ also loved the congregation and delivered up himself for it,
Ephesians	49	5	26	that he might sanctify it, cleansing it with the bath of water by means of the word,
