book	book_id	chapter	verse	text
Galatians	48	1	1	Paul, an apostle, neither from men nor through a man, but through Jesus Christ and God the Father, who raised him up from the dead,
Galatians	48	1	2	and all the brothers with me, to the congregations of Galatia:
Galatians	48	1	3	May YOU have undeserved kindness and peace from God our Father and the Lord Jesus Christ.
Galatians	48	1	4	He gave himself for our sins that he might deliver us from the present wicked system of things according to the will of our God and Father,
Galatians	48	1	5	to whom be the glory forever and ever. Amen.
Galatians	48	1	6	I marvel that YOU are being so quickly removed from the One who called YOU with Christ’s undeserved kindness over to another sort of good news.
Galatians	48	1	7	But it is not another; only there are certain ones who are causing YOU trouble and wanting to pervert the good news about the Christ.
Galatians	48	1	8	However, even if we or an angel out of heaven were to declare to YOU as good news something beyond what we declared to YOU as good news, let him be accursed.
Galatians	48	1	9	As we have said above, I also now say again, Whoever it is that is declaring to YOU as good news something beyond what YOU accepted, let him be accursed.
Galatians	48	1	10	Is it, in fact, men I am now trying to persuade or God? Or am I seeking to please men? If I were yet pleasing men, I would not be Christ’s slave.
Galatians	48	1	11	For I put YOU on notice, brothers, that the good news which was declared by me as good news is not something human;
Galatians	48	1	12	for neither did I receive it from man, nor was I taught it, except through revelation by Jesus Christ.
Galatians	48	1	13	YOU, of course, heard about my conduct formerly in Judaism, that to the point of excess I kept on persecuting the congregation of God and devastating it,
Galatians	48	1	14	and I was making greater progress in Judaism than many of my own age in my race, as I was far more zealous for the traditions of my fathers.
Galatians	48	1	15	But when God, who separated me from my mother’s womb and called me through his undeserved kindness, thought good
Galatians	48	1	16	to reveal his Son in connection with me, that I might declare the good news about him to the nations, I did not go at once into conference with flesh and blood.
Galatians	48	1	17	Neither did I go up to Jerusalem to those who were apostles previous to me, but I went off into Arabia, and I came back again to Damascus.
Galatians	48	1	18	Then three years later I went up to Jerusalem to visit Cephas, and I stayed with him for fifteen days.
Galatians	48	1	19	But I saw no one else of the apostles, only James the brother of the Lord.
Galatians	48	1	20	Now as to the things I am writing YOU, look! in the sight of God, I am not lying.
Galatians	48	1	21	After that I went into the regions of Syria and of Cilicia.
Galatians	48	1	22	But I was unknown by face to the congregations of Judea that were in union with Christ;
Galatians	48	1	23	they only used to hear: “The man that formerly persecuted us is now declaring the good news about the faith which he formerly devastated.”
Galatians	48	1	24	So they began glorifying God because of me.
book	book_id	chapter	verse	text
Galatians	48	2	1	Then after fourteen years I again went up to Jerusalem with Barnabas, taking also Titus along with me.
Galatians	48	2	2	But I went up as a result of a revelation. And I laid before them the good news which I am preaching among the nations, privately, however, before those who were outstanding men, for fear that somehow I was running or had run in vain.
Galatians	48	2	3	Nevertheless, not even Titus, who was with me, was compelled to be circumcised, although he was a Greek.
Galatians	48	2	4	But because of the false brothers brought in quietly, who sneaked in to spy upon our freedom which we have in union with Christ Jesus, that they might completely enslave us—
Galatians	48	2	5	to these we did not yield by way of submission, no, not for an hour, in order that the truth of the good news might continue with YOU.
Galatians	48	2	6	But on the part of those who seemed to be something—whatever sort of men they formerly were makes no difference to me—God does not go by a man’s outward appearance—to me, in fact, those outstanding men imparted nothing new.
