book	book_id	chapter	verse	text
Hebrews	58	1	1	God, who long ago spoke on many occasions and in many ways to our forefathers by means of the prophets,
Hebrews	58	1	2	has at the end of these days spoken to us by means of a Son, whom he appointed heir of all things, and through whom he made the systems of things.
Hebrews	58	1	3	He is the reflection of his glory and the exact representation of his very being, and he sustains all things by the word of his power; and after he had made a purification for our sins he sat down on the right hand of the Majesty in lofty places.
Hebrews	58	1	4	So he has become better than the angels, to the extent that he has inherited a name more excellent than theirs.
Hebrews	58	1	5	For example, to which one of the angels did he ever say: “You are my son; I, today, I have become your father”? And again: “I myself shall become his father, and he himself will become my son”?
Hebrews	58	1	6	But when he again brings his Firstborn into the inhabited earth, he says: “And let all God’s angels do obeisance to him.”
Hebrews	58	1	7	Also, with reference to the angels he says: “And he makes his angels spirits, and his public servants a flame of fire.”
Hebrews	58	1	8	But with reference to the Son: “God is your throne forever and ever, and the scepter of your kingdom is the scepter of uprightness.
Hebrews	58	1	9	You loved righteousness, and you hated lawlessness. That is why God, your God, anointed you with the oil of exultation more than your partners.”
Hebrews	58	1	10	And: “You at the beginning, O Lord, laid the foundations of the earth itself, and the heavens are the works of your hands.
Hebrews	58	1	11	They themselves will perish, but you yourself are to remain continually; and just like an outer garment they will all grow old,
Hebrews	58	1	12	and you will wrap them up just as a cloak, as an outer garment; and they will be changed, but you are the same, and your years will never run out.”
Hebrews	58	1	13	But with reference to which one of the angels has he ever said: “Sit at my right hand, until I place your enemies as a stool for your feet”?
Hebrews	58	1	14	Are they not all spirits for public service, sent forth to minister for those who are going to inherit salvation?
book	book_id	chapter	verse	text
Hebrews	58	2	1	That is why it is necessary for us to pay more than the usual attention to the things heard by us, that we may never drift away.
Hebrews	58	2	2	For if the word spoken through angels proved to be firm, and every transgression and disobedient act received a retribution in harmony with justice;
Hebrews	58	2	3	how shall we escape if we have neglected a salvation of such greatness in that it began to be spoken through our Lord and was verified for us by those who heard him,
Hebrews	58	2	4	while God joined in bearing witness with signs as well as portents and various powerful works and with distributions of holy spirit according to his will?
Hebrews	58	2	5	For it is not to angels that he has subjected the inhabited earth to come, about which we are speaking.
Hebrews	58	2	6	But a certain witness has given proof somewhere, saying: “What is man that you keep him in mind, or the son of man that you take care of him?
Hebrews	58	2	7	You made him a little lower than angels; with glory and honor you crowned him, and appointed him over the works of your hands.
Hebrews	58	2	8	All things you subjected under his feet.” For in that he subjected all things to him God left nothing that is not subject to him. Now, though, we do not yet see all things in subjection to him;
Hebrews	58	2	9	but we behold Jesus, who has been made a little lower than angels, crowned with glory and honor for having suffered death, that he by God’s undeserved kindness might taste death for every man.
Hebrews	58	2	10	For it was fitting for the one for whose sake all things are and through whom all things are, in bringing many sons to glory, to make the Chief Agent of their salvation perfect through sufferings.
Hebrews	58	2	11	For both he who is sanctifying and those who are being sanctified all stem from one, and for this cause he is not ashamed to call them “brothers,”
Hebrews	58	2	12	as he says: “I will declare your name to my brothers; in the middle of the congregation I will praise you with song.”
Hebrews	58	2	13	And again: “I will have my trust in him.” And again: “Look! I and the young children, whom Jehovah gave me.”
Hebrews	58	2	14	Therefore, since the “young children” are sharers of blood and flesh, he also similarly partook of the same things, that through his death he might bring to nothing the one having the means to cause death, that is, the Devil;
Hebrews	58	2	15	and that he might emancipate all those who for fear of death were subject to slavery all through their lives.
Hebrews	58	2	16	For he is really not assisting angels at all, but he is assisting Abraham’s seed.
Hebrews	58	2	17	Consequently he was obliged to become like his “brothers” in all respects, that he might become a merciful and faithful high priest in things pertaining to God, in order to offer propitiatory sacrifice for the sins of the people.
Hebrews	58	2	18	For in that he himself has suffered when being put to the test, he is able to come to the aid of those who are being put to the test.
book	book_id	chapter	verse	text
Hebrews	58	3	1	Consequently, holy brothers, partakers of the heavenly calling, consider the apostle and high priest whom we confess—Jesus.
Hebrews	58	3	2	He was faithful to the One that made him such, as Moses was also in all the house of that One.
Hebrews	58	3	3	For the latter is counted worthy of more glory than Moses, inasmuch as he who constructs it has more honor than the house.
Hebrews	58	3	4	Of course, every house is constructed by someone, but he that constructed all things is God.
Hebrews	58	3	5	And Moses as an attendant was faithful in all the house of that One as a testimony of the things that were to be spoken afterwards,
Hebrews	58	3	6	but Christ was faithful as a Son over the house of that One. We are the house of that One, if we make fast our hold on our freeness of speech and our boasting over the hope firm to the end.
Hebrews	58	3	7	For this reason, just as the holy spirit says: “Today if YOU people listen to his own voice,
Hebrews	58	3	8	do not harden YOUR hearts as on the occasion of causing bitter anger, as in the day of making the test in the wilderness,
Hebrews	58	3	9	in which YOUR forefathers made a test of me with a trial, and yet they had seen my works for forty years.
Hebrews	58	3	10	For this reason I became disgusted with this generation and said, ‘They always go astray in their hearts, and they themselves have not come to know my ways.’
Hebrews	58	3	11	So I swore in my anger, ‘They shall not enter into my rest.’”
Hebrews	58	3	12	Beware, brothers, for fear there should ever develop in any one of YOU a wicked heart lacking faith by drawing away from the living God;
Hebrews	58	3	13	but keep on exhorting one another each day, as long as it may be called “Today,” for fear any one of YOU should become hardened by the deceptive power of sin.
Hebrews	58	3	14	For we actually become partakers of the Christ only if we make fast our hold on the confidence we had at the beginning firm to the end,
Hebrews	58	3	15	while it is being said: “Today if YOU people listen to his own voice, do not harden YOUR hearts as on the occasion of causing bitter anger.”
Hebrews	58	3	16	For who were they that heard and yet provoked to bitter anger? Did not, in fact, all do so who went out of Egypt under Moses?
Hebrews	58	3	17	Moreover, with whom did God become disgusted for forty years? Was it not with those who sinned, whose carcasses fell in the wilderness?
Hebrews	58	3	18	But to whom did he swear that they should not enter into his rest except to those who acted disobediently?
Hebrews	58	3	19	So we see that they could not enter in because of lack of faith.
book	book_id	chapter	verse	text
Hebrews	58	4	1	Therefore, since a promise is left of entering into his rest, let us fear that sometime someone of YOU may seem to have fallen short of it.
Hebrews	58	4	2	For we have had the good news declared to us also, even as they also had; but the word which was heard did not benefit them, because they were not united by faith with those who did hear.
Hebrews	58	4	3	For we who have exercised faith do enter into the rest, just as he has said: “So I swore in my anger, ‘They shall not enter into my rest,’” although his works were finished from the founding of the world.
Hebrews	58	4	4	For in one place he has said of the seventh day as follows: “And God rested on the seventh day from all his works,”
Hebrews	58	4	5	and again in this place: “They shall not enter into my rest.”
Hebrews	58	4	6	Since, therefore, it remains for some to enter into it, and those to whom the good news was first declared did not enter in because of disobedience,
Hebrews	58	4	7	he again marks off a certain day by saying after so long a time in David’s psalm “Today”; just as it has been said above: “Today if YOU people listen to his own voice, do not harden YOUR hearts.”
Hebrews	58	4	8	For if Joshua had led them into a place of rest, God would not afterward have spoken of another day.
Hebrews	58	4	9	So there remains a sabbath resting for the people of God.
Hebrews	58	4	10	For the man that has entered into God’s rest has also himself rested from his own works, just as God did from his own.
Hebrews	58	4	11	Let us therefore do our utmost to enter into that rest, for fear anyone should fall in the same pattern of disobedience.
