book	book_id	chapter	verse	text
James	59	1	1	James, a slave of God and of the Lord Jesus Christ, to the twelve tribes that are scattered about: Greetings!
James	59	1	2	Consider it all joy, my brothers, when YOU meet with various trials,
James	59	1	3	knowing as YOU do that this tested quality of YOUR faith works out endurance.
James	59	1	4	But let endurance have its work complete, that YOU may be complete and sound in all respects, not lacking in anything.
James	59	1	5	So, if any one of YOU is lacking in wisdom, let him keep on asking God, for he gives generously to all and without reproaching; and it will be given him.
James	59	1	6	But let him keep on asking in faith, not doubting at all, for he who doubts is like a wave of the sea driven by the wind and blown about.
James	59	1	7	In fact, let not that man suppose that he will receive anything from Jehovah;
James	59	1	8	he is an indecisive man, unsteady in all his ways.
James	59	1	9	But let the lowly brother exult over his exaltation,
James	59	1	10	and the rich one over his humiliation, because like a flower of the vegetation he will pass away.
James	59	1	11	For the sun rises with its burning heat and withers the vegetation, and its flower drops off and the beauty of its outward appearance perishes. So, too, the rich man will fade away in his ways of life.
James	59	1	12	Happy is the man that keeps on enduring trial, because on becoming approved he will receive the crown of life, which Jehovah promised to those who continue loving him.
James	59	1	13	When under trial, let no one say: “I am being tried by God.” For with evil things God cannot be tried nor does he himself try anyone.
James	59	1	14	But each one is tried by being drawn out and enticed by his own desire.
James	59	1	15	Then the desire, when it has become fertile, gives birth to sin; in turn, sin, when it has been accomplished, brings forth death.
James	59	1	16	Do not be misled, my beloved brothers.
James	59	1	17	Every good gift and every perfect present is from above, for it comes down from the Father of the celestial lights, and with him there is not a variation of the turning of the shadow.
James	59	1	18	Because he willed it, he brought us forth by the word of truth, for us to be certain firstfruits of his creatures.
James	59	1	19	Know this, my beloved brothers. Every man must be swift about hearing, slow about speaking, slow about wrath;
James	59	1	20	for man’s wrath does not work out God’s righteousness.
James	59	1	21	Hence put away all filthiness and that superfluous thing, badness, and accept with mildness the implanting of the word which is able to save YOUR souls.
James	59	1	22	However, become doers of the word, and not hearers only, deceiving yourselves with false reasoning.
James	59	1	23	For if anyone is a hearer of the word, and not a doer, this one is like a man looking at his natural face in a mirror.
James	59	1	24	For he looks at himself, and off he goes and immediately forgets what sort of man he is.
James	59	1	25	But he who peers into the perfect law that belongs to freedom and who persists in it, this man, because he has become, not a forgetful hearer, but a doer of the work, will be happy in his doing it.
James	59	1	26	If any man seems to himself to be a formal worshiper and yet does not bridle his tongue, but goes on deceiving his own heart, this man’s form of worship is futile.
James	59	1	27	The form of worship that is clean and undefiled from the standpoint of our God and Father is this: to look after orphans and widows in their tribulation, and to keep oneself without spot from the world.
book	book_id	chapter	verse	text
James	59	2	1	My brothers, YOU are not holding the faith of our Lord Jesus Christ, our glory, with acts of favoritism, are YOU?
James	59	2	2	For, if a man with gold rings on his fingers and in splendid clothing enters into a gathering of YOU, but a poor man in filthy clothing also enters,
