book	book_id	chapter	verse	text
John	43	1	1	In the beginning the Word was, and the Word was with God, and the Word was a god.
John	43	1	2	This one was in the beginning with God.
John	43	1	3	All things came into existence through him, and apart from him not even one thing came into existence. What has come into existence
John	43	1	4	by means of him was life, and the life was the light of men.
John	43	1	5	And the light is shining in the darkness, but the darkness has not overpowered it.
John	43	1	6	There arose a man that was sent forth as a representative of God: his name was John.
John	43	1	7	This man came for a witness, in order to bear witness about the light, that people of all sorts might believe through him.
John	43	1	8	He was not that light, but he was meant to bear witness about that light.
John	43	1	9	The true light that gives light to every sort of man was about to come into the world.
John	43	1	10	He was in the world, and the world came into existence through him, but the world did not know him.
John	43	1	11	He came to his own home, but his own people did not take him in.
John	43	1	12	However, as many as did receive him, to them he gave authority to become God’s children, because they were exercising faith in his name;
John	43	1	13	and they were born, not from blood or from a fleshly will or from man’s will, but from God.
John	43	1	14	So the Word became flesh and resided among us, and we had a view of his glory, a glory such as belongs to an only-begotten son from a father; and he was full of undeserved kindness and truth.
John	43	1	15	(John bore witness about him, yes, he actually cried out—this was the one who said it—saying: “The one coming behind me has advanced in front of me, because he existed before me.”)
John	43	1	16	For we all received from out of his fullness, even undeserved kindness upon undeserved kindness.
John	43	1	17	Because the Law was given through Moses, the undeserved kindness and the truth came to be through Jesus Christ.
John	43	1	18	No man has seen God at any time; the only-begotten god who is in the bosom position with the Father is the one that has explained him.
John	43	1	19	Now this is the witness of John when the Jews sent forth priests and Levites from Jerusalem to him to ask him: “Who are you?”
John	43	1	20	And he confessed and did not deny, but confessed: “I am not the Christ.”
John	43	1	21	And they asked him: “What, then? Are you Elijah?” And he said: “I am not.” “Are you The Prophet?” And he answered: “No!”
John	43	1	22	Therefore they said to him: “Who are you? that we may give an answer to those who sent us. What do you say about yourself?”
John	43	1	23	He said: “I am a voice of someone crying out in the wilderness, ‘MAKE the way of Jehovah straight,’ just as Isaiah the prophet said.”
John	43	1	24	Now those sent forth were from the Pharisees.
John	43	1	25	So they questioned him and said to him: “Why, then, do you baptize if you yourself are not the Christ or Elijah or The Prophet?”
John	43	1	26	John answered them, saying: “I baptize in water. In the midst of YOU one is standing whom YOU do not know,
John	43	1	27	the one coming behind me, but the lace of whose sandal I am not worthy to untie.”
John	43	1	28	These things took place in Bethany across the Jordan, where John was baptizing.
John	43	1	29	The next day he beheld Jesus coming toward him, and he said: “See, the Lamb of God that takes away the sin of the world!
John	43	1	30	This is the one about whom I said, Behind me there comes a man who has advanced in front of me, because he existed before me.
John	43	1	31	Even I did not know him, but the reason why I came baptizing in water was that he might be made manifest to Israel.”
John	43	1	32	John also bore witness, saying: “I viewed the spirit coming down as a dove out of heaven, and it remained upon him.
John	43	1	33	Even I did not know him, but the very One who sent me to baptize in water said to me, ‘Whoever it is upon whom you see the spirit coming down and remaining, this is the one that baptizes in holy spirit.’
John	43	1	34	And I have seen it, and I have borne witness that this one is the Son of God.”
John	43	1	35	Again the next day John was standing with two of his disciples,
