book	book_id	chapter	verse	text
Luke	42	1	1	Whereas many have undertaken to compile a statement of the facts that are given full credence among us,
Luke	42	1	2	just as those who from the beginning became eyewitnesses and attendants of the message delivered these to us,
Luke	42	1	3	I resolved also, because I have traced all things from the start with accuracy, to write them in logical order to you, most excellent Theophilus,
Luke	42	1	4	that you may know fully the certainty of the things that you have been taught orally.
Luke	42	1	5	In the days of Herod, king of Judea, there happened to be a certain priest named Zechariah of the division of Abijah, and he had a wife from the daughters of Aaron, and her name was Elizabeth.
Luke	42	1	6	They both were righteous before God because of walking blamelessly in accord with all the commandments and legal requirements of Jehovah.
Luke	42	1	7	But they had no child, because Elizabeth was barren, and they both were well along in years.
Luke	42	1	8	Now as he was acting as priest in the assignment of his division before God,
Luke	42	1	9	according to the solemn practice of the priestly office it became his turn to offer incense when he entered into the sanctuary of Jehovah;
Luke	42	1	10	and all the multitude of the people was praying outside at the hour of offering incense.
Luke	42	1	11	To him Jehovah’s angel appeared, standing at the right side of the incense altar.
Luke	42	1	12	But Zechariah became troubled at the sight, and fear fell upon him.
Luke	42	1	13	However, the angel said to him: “Have no fear, Zechariah, because your supplication has been favorably heard, and your wife Elizabeth will become mother to a son to you, and you are to call his name John.
Luke	42	1	14	And you will have joy and great gladness, and many will rejoice over his birth;
Luke	42	1	15	for he will be great before Jehovah. But he must drink no wine and strong drink at all, and he will be filled with holy spirit right from his mother’s womb;
Luke	42	1	16	and many of the sons of Israel will he turn back to Jehovah their God.
Luke	42	1	17	Also, he will go before him with Elijah’s spirit and power, to turn back the hearts of fathers to children and the disobedient ones to the practical wisdom of righteous ones, to get ready for Jehovah a prepared people.”
Luke	42	1	18	And Zechariah said to the angel: “How am I to be sure of this? For I am aged and my wife is well along in years.”
Luke	42	1	19	In reply the angel said to him: “I am Gabriel, who stands near before God, and I was sent forth to speak with you and declare the good news of these things to you.
Luke	42	1	20	But, look! you will be silent and not able to speak until the day that these things take place, because you did not believe my words, which will be fulfilled in their appointed time.”
Luke	42	1	21	Meanwhile the people continued waiting for Zechariah, and they began to wonder at his delaying in the sanctuary.
Luke	42	1	22	But when he came out he was not able to speak to them, and they perceived that he had just seen a supernatural sight in the sanctuary; and he kept making signs to them, but remained dumb.
Luke	42	1	23	When, now, the days of his public service were fulfilled, he went off to his home.
Luke	42	1	24	But after these days Elizabeth his wife became pregnant; and she kept herself secluded for five months, saying:
Luke	42	1	25	“This is the way Jehovah has dealt with me in these days when he has given me his attention to take away my reproach among men.”
Luke	42	1	26	In her sixth month the angel Gabriel was sent forth from God to a city of Galilee named Nazareth,
Luke	42	1	27	to a virgin promised in marriage to a man named Joseph of David’s house; and the name of the virgin was Mary.
Luke	42	1	28	And when he went in before her he said: “Good day, highly favored one, Jehovah is with you.”
Luke	42	1	29	But she was deeply disturbed at the saying and began to reason out what sort of greeting this might be.
Luke	42	1	30	So the angel said to her: “Have no fear, Mary, for you have found favor with God;
Luke	42	1	31	and, look! you will conceive in your womb and give birth to a son, and you are to call his name Jesus.
Luke	42	1	32	This one will be great and will be called Son of the Most High; and Jehovah God will give him the throne of David his father,
Luke	42	1	33	and he will rule as king over the house of Jacob forever, and there will be no end of his kingdom.”
Luke	42	1	34	But Mary said to the angel: “How is this to be, since I am having no intercourse with a man?”
Luke	42	1	35	In answer the angel said to her: “Holy spirit will come upon you, and power of the Most High will overshadow you. For that reason also what is born will be called holy, God’s Son.
Luke	42	1	36	And, look! Elizabeth your relative has also herself conceived a son, in her old age, and this is the sixth month for her, the so-called barren woman;
Luke	42	1	37	because with God no declaration will be an impossibility.”
Luke	42	1	38	Then Mary said: “Look! Jehovah’s slave girl! May it take place with me according to your declaration.” At that the angel departed from her.
Luke	42	1	39	So Mary rose in these days and went into the mountainous country with haste, to a city of Judah,
Luke	42	1	40	and she entered into the home of Zechariah and greeted Elizabeth.
Luke	42	1	41	Well, as Elizabeth heard the greeting of Mary, the infant in her womb leaped; and Elizabeth was filled with holy spirit,
Luke	42	1	42	and she called out with a loud cry and said: “Blessed are you among women, and blessed is the fruit of your womb!
Luke	42	1	43	So how is it that this privilege is mine, to have the mother of my Lord come to me?
Luke	42	1	44	For, look! as the sound of your greeting fell upon my ears, the infant in my womb leaped with great gladness.
Luke	42	1	45	Happy too is she that believed, because there will be a complete performance of those things spoken to her from Jehovah.”
Luke	42	1	46	And Mary said: “My soul magnifies Jehovah,
Luke	42	1	47	and my spirit cannot keep from being overjoyed at God my Savior;
Luke	42	1	48	because he has looked upon the low position of his slave girl. For, look! from now on all generations will pronounce me happy;
Luke	42	1	49	because the powerful One has done great deeds for me, and holy is his name;
Luke	42	1	50	and for generations after generations his mercy is upon those who fear him.
Luke	42	1	51	He has performed mightily with his arm, he has scattered abroad those who are haughty in the intention of their hearts.
Luke	42	1	52	He has brought down men of power from thrones and exalted lowly ones;
Luke	42	1	53	he has fully satisfied hungry ones with good things and he has sent away empty those who had wealth.
Luke	42	1	54	He has come to the aid of Israel his servant, to call to mind mercy,
Luke	42	1	55	just as he told to our forefathers, to Abraham and to his seed, forever.”
Luke	42	1	56	Then Mary remained with her about three months, and returned to her own home.
Luke	42	1	57	The time now became due for Elizabeth to give birth, and she became mother to a son.
Luke	42	1	58	And the neighbors and her relatives heard that Jehovah had magnified his mercy to her, and they began to rejoice with her.
Luke	42	1	59	And on the eighth day they came to circumcise the young child, and they were going to call it by the name of its father, Zechariah.
Luke	42	1	60	But its mother answered and said: “No, indeed! but he shall be called John.”
Luke	42	1	61	At this they said to her: “There is no one among your relatives that is called by this name.”
Luke	42	1	62	Then they went asking its father by signs what he wanted it to be called.
Luke	42	1	63	And he asked for a tablet and wrote: “John is its name.” At this they all marveled.
Luke	42	1	64	Instantly his mouth was opened and his tongue loosed and he began to speak, blessing God.
Luke	42	1	65	And fear fell upon all those living in their neighborhood; and in the whole mountainous country of Judea all these things began to be talked around,
Luke	42	1	66	and all that heard made note of it in their hearts, saying: “What really will this young child be?” For the hand of Jehovah was indeed with it.
Luke	42	1	67	And Zechariah its father was filled with holy spirit, and he prophesied, saying:
Luke	42	1	68	“Blessed be Jehovah the God of Israel, because he has turned his attention and performed deliverance toward his people.
Luke	42	1	69	And he has raised up a horn of salvation for us in the house of David his servant,
Luke	42	1	70	just as he, through the mouth of his holy prophets from of old, has spoken
Luke	42	1	71	of a salvation from our enemies and from the hand of all those hating us;
Luke	42	1	72	to perform the mercy in connection with our forefathers and to call to mind his holy covenant,
Luke	42	1	73	the oath that he swore to Abraham our forefather,
Luke	42	1	74	to grant us, after we have been rescued from the hands of enemies, the privilege of fearlessly rendering sacred service to him
Luke	42	1	75	with loyalty and righteousness before him all our days.
Luke	42	1	76	But as for you, young child, you will be called a prophet of the Most High, for you will go in advance before Jehovah to make his ways ready,
Luke	42	1	77	to give knowledge of salvation to his people by forgiveness of their sins,
Luke	42	1	78	because of the tender compassion of our God. With this compassion a daybreak will visit us from on high,
