book	book_id	chapter	verse	text
Mark	41	1	1	The beginning of the good news about Jesus Christ:
Mark	41	1	2	Just as it is written in Isaiah the prophet: “(Look! I am sending forth my messenger before your face, who will prepare your way;)
Mark	41	1	3	listen! someone is crying out in the wilderness, ‘Prepare the way of Jehovah, YOU people, make his roads straight,’”
Mark	41	1	4	John the baptizer turned up in the wilderness, preaching baptism in symbol of repentance for forgiveness of sins.
Mark	41	1	5	Consequently all the territory of Judea and all the inhabitants of Jerusalem made their way out to him, and they were baptized by him in the Jordan River, openly confessing their sins.
Mark	41	1	6	Now John was clothed with camel’s hair and with a leather girdle around his loins, and was eating insect locusts and wild honey.
Mark	41	1	7	And he would preach, saying: “After me someone stronger than I am is coming; I am not fit to stoop and untie the laces of his sandals.
Mark	41	1	8	I baptized YOU with water, but he will baptize YOU with holy spirit.”
Mark	41	1	9	In the course of those days Jesus came from Nazareth of Galilee and was baptized in the Jordan by John.
Mark	41	1	10	And immediately on coming up out of the water he saw the heavens being parted, and, like a dove, the spirit coming down upon him;
Mark	41	1	11	and a voice came out of the heavens: “You are my Son, the beloved; I have approved you.”
Mark	41	1	12	And immediately the spirit impelled him to go into the wilderness.
Mark	41	1	13	So he continued in the wilderness forty days, being tempted by Satan, and he was with the wild beasts, but the angels were ministering to him.
Mark	41	1	14	Now after John was put under arrest Jesus went into Galilee, preaching the good news of God
Mark	41	1	15	and saying: “The appointed time has been fulfilled, and the kingdom of God has drawn near. Be repentant, YOU people, and have faith in the good news.”
Mark	41	1	16	While walking alongside the sea of Galilee he saw Simon and Andrew the brother of Simon casting their nets about in the sea, for they were fishers.
Mark	41	1	17	So Jesus said to them: “Come after me, and I shall cause YOU to become fishers of men.”
Mark	41	1	18	And at once they abandoned their nets and followed him.
Mark	41	1	19	And after going a little farther he saw James the son of Zebedee and John his brother, in fact, while they were in their boat mending their nets;
Mark	41	1	20	and without delay he called them. In turn they left their father Zebedee in the boat with the hired men and went off after him.
Mark	41	1	21	And they went their way into Capernaum. No sooner was it the sabbath than he entered into the synagogue and began to teach.
Mark	41	1	22	And they became astounded at his way of teaching, for there he was teaching them as one having authority, and not as the scribes.
Mark	41	1	23	Also, at that immediate time there was in their synagogue a man under the power of an unclean spirit, and he shouted,
Mark	41	1	24	saying: “What have we to do with you, Jesus you Nazarene? Did you come to destroy us? I know exactly who you are, the Holy One of God.”
Mark	41	1	25	But Jesus rebuked it, saying: “Be silent, and come on out of him!”
Mark	41	1	26	And the unclean spirit, after throwing him into a convulsion and yelling at the top of its voice, came on out of him.
Mark	41	1	27	Well, the people were all so astonished that they began a discussion among themselves, saying: “What is this? A new teaching! He authoritatively orders even the unclean spirits, and they obey him.”
Mark	41	1	28	So the report about him spread out immediately in all directions through all the country round about in Galilee.
Mark	41	1	29	And immediately they went out of the synagogue and went into the home of Simon and Andrew with James and John.
Mark	41	1	30	Now Simon’s mother-in-law was lying down sick with a fever, and they at once told him about her.
Mark	41	1	31	And going to her he raised her up, taking her by the hand; and the fever left her, and she began ministering to them.
Mark	41	1	32	After evening had fallen, when the sun had set, the people began bringing him all those who were ill and those demon-possessed;
Mark	41	1	33	and the whole city was gathered right at the door.
Mark	41	1	34	So he cured many that were ill with various sicknesses, and he expelled many demons, but he would not let the demons speak, because they knew him to be Christ.
Mark	41	1	35	And early in the morning, while it was still dark, he rose up and went outside and left for a lonely place, and there he began praying.
Mark	41	1	36	However, Simon and those with him hunted him down
Mark	41	1	37	and found him, and they said to him: “All are looking for you.”
Mark	41	1	38	But he said to them: “Let us go somewhere else, into the village towns nearby, that I may preach there also, for it is for this purpose I have gone out.”
Mark	41	1	39	And he did go, preaching in their synagogues throughout the whole of Galilee and expelling the demons.
Mark	41	1	40	There also came to him a leper, entreating him even on bended knee, saying to him: “If you just want to, you can make me clean.”
Mark	41	1	41	At that he was moved with pity, and he stretched out his hand and touched him, and said to him: “I want to. Be made clean.”
Mark	41	1	42	And immediately the leprosy vanished from him, and he became clean.
Mark	41	1	43	Furthermore, he gave him strict orders and at once sent him away,
Mark	41	1	44	and said to him: “See that you tell nobody a thing, but go show yourself to the priest and offer in behalf of your cleansing the things Moses directed, for a witness to them.”
Mark	41	1	45	But after going away the man started to proclaim it a great deal and to spread the account abroad, so that Jesus was no longer able to enter openly into a city, but he continued outside in lonely places. Yet they kept coming to him from all sides.
book	book_id	chapter	verse	text
Mark	41	2	1	However, after some days he again entered into Capernaum and he was reported to be at home.
Mark	41	2	2	Consequently many gathered, so much so that there was no more room, not even about the door, and he began to speak the word to them.
Mark	41	2	3	And men came bringing him a paralytic carried by four.
Mark	41	2	4	But not being able to bring him right to Jesus on account of the crowd, they removed the roof over where he was, and having dug an opening they lowered the cot on which the paralytic was lying.
Mark	41	2	5	And when Jesus saw their faith he said to the paralytic: “Child, your sins are forgiven.”
Mark	41	2	6	Now there were some of the scribes there, sitting and reasoning in their hearts:
Mark	41	2	7	“Why is this man talking in this manner? He is blaspheming. Who can forgive sins except one, God?”
Mark	41	2	8	But Jesus, having discerned immediately by his spirit that they were reasoning that way in themselves, said to them: “Why are YOU reasoning these things in YOUR hearts?
Mark	41	2	9	Which is easier, to say to the paralytic, ‘Your sins are forgiven,’ or to say, ‘Get up and pick up your cot and walk’?
Mark	41	2	10	But in order for YOU men to know that the Son of man has authority to forgive sins upon the earth,”—he said to the paralytic:
Mark	41	2	11	“I say to you, Get up, pick up your cot, and go to your home.”
Mark	41	2	12	At that he did get up, and immediately picked up his cot and walked out in front of them all, so that they were all simply carried away, and they glorified God, saying: “We never saw the like of it.”
Mark	41	2	13	Again he went out beside the sea; and all the crowd kept coming to him, and he began to teach them.
Mark	41	2	14	But as he was passing along, he caught sight of Levi the son of Alphaeus sitting at the tax office, and he said to him: “Be my follower.” And rising up he followed him.
Mark	41	2	15	Later he happened to be reclining at the table in his house, and many tax collectors and sinners were reclining with Jesus and his disciples, for there were many of them and they began following him.
Mark	41	2	16	But the scribes of the Pharisees, when they saw he was eating with the sinners and tax collectors, began saying to his disciples: “Does he eat with the tax collectors and sinners?”
Mark	41	2	17	Upon hearing this Jesus said to them: “Those who are strong do not need a physician, but those who are ill do. I came to call, not righteous people, but sinners.”
Mark	41	2	18	Now John’s disciples and the Pharisees practiced fasting. So they came and said to him: “Why is it the disciples of John and the disciples of the Pharisees practice fasting, but your disciples do not practice fasting?”
Mark	41	2	19	And Jesus said to them: “While the bridegroom is with them the friends of the bridegroom cannot fast, can they? As long as they have the bridegroom with them they cannot fast.
Mark	41	2	20	But days will come when the bridegroom will be taken away from them, and then they will fast in that day.
Mark	41	2	21	Nobody sews a patch of unshrunk cloth upon an old outer garment; if he does, its full strength pulls from it, the new from the old, and the tear becomes worse.
Mark	41	2	22	Also, nobody puts new wine into old wineskins; if he does, the wine bursts the skins, and the wine is lost as well as the skins. But people put new wine into new wineskins.”
Mark	41	2	23	Now it happened that he was proceeding through the grainfields on the sabbath, and his disciples started to make their way plucking the heads of grain.
Mark	41	2	24	So the Pharisees went saying to him: “Look here! Why are they doing on the sabbath what is not lawful?”
Mark	41	2	25	But he said to them: “Have YOU never once read what David did when he fell in need and got hungry, he and the men with him?
Mark	41	2	26	How he entered into the house of God, in the account about Abiathar the chief priest, and ate the loaves of presentation, which it is not lawful for anybody to eat except the priests, and he gave some also to the men who were with him?”
Mark	41	2	27	So he went on to say to them: “The sabbath came into existence for the sake of man, and not man for the sake of the sabbath;
Mark	41	2	28	hence the Son of man is Lord even of the sabbath.”
book	book_id	chapter	verse	text
Mark	41	3	1	Once again he entered into a synagogue, and a man was there with a dried-up hand.
Mark	41	3	2	So they were watching him closely to see whether he would cure the man on the sabbath, in order that they might accuse him.
Mark	41	3	3	And he said to the man with the withered hand: “Get up and come to the center.”
Mark	41	3	4	Next he said to them: “Is it lawful on the sabbath to do a good deed or to do a bad deed, to save or to kill a soul?” But they kept silent.
Mark	41	3	5	And after looking around upon them with indignation, being thoroughly grieved at the insensibility of their hearts, he said to the man: “Stretch out your hand.” And he stretched it out, and his hand was restored.
Mark	41	3	6	At that the Pharisees went out and immediately began holding council with the party followers of Herod against him, in order to destroy him.
Mark	41	3	7	But Jesus with his disciples withdrew to the sea; and a great multitude from Galilee and from Judea followed him.
Mark	41	3	8	Even from Jerusalem and from Idumea and from across the Jordan and around Tyre and Sidon, a great multitude, on hearing of how many things he was doing, came to him.
Mark	41	3	9	And he told his disciples to have a little boat continually at his service so that the crowd might not press upon him.
Mark	41	3	10	For he cured many, with the result that all those who had grievous diseases were falling upon him to touch him.
Mark	41	3	11	Even the unclean spirits, whenever they would behold him, would prostrate themselves before him and cry out, saying: “You are the Son of God.”
Mark	41	3	12	But many times he sternly charged them not to make him known.
Mark	41	3	13	And he ascended a mountain and summoned those he wanted, and they went off to him.
Mark	41	3	14	And he formed a group of twelve, whom he also named “apostles,” that they might continue with him and that he might send them out to preach
Mark	41	3	15	and to have authority to expel the demons.
Mark	41	3	16	And the group of twelve that he formed were Simon, to whom he also gave the surname Peter,
Mark	41	3	17	and James the son of Zebedee and John the brother of James (he also gave these the surname Boanerges, which means Sons of Thunder),
Mark	41	3	18	and Andrew and Philip and Bartholomew and Matthew and Thomas and James the son of Alphaeus and Thaddaeus and Simon the Cananaean
Mark	41	3	19	and Judas Iscariot, who later betrayed him. And he went into a house.
Mark	41	3	20	Once more the crowd gathered, so that they were not able even to eat a meal.
Mark	41	3	21	But when his relatives heard about it, they went out to lay hold of him, for they were saying: “He has gone out of his mind.”
Mark	41	3	22	Also, the scribes that came down from Jerusalem were saying: “He has Beelzebub, and he expels the demons by means of the ruler of the demons.”
Mark	41	3	23	So, after calling them to him, he began to say to them with illustrations: “How can Satan expel Satan?
Mark	41	3	24	Why, if a kingdom becomes divided against itself, that kingdom cannot stand;
Mark	41	3	25	and if a house becomes divided against itself, that house will not be able to stand.
Mark	41	3	26	Also, if Satan has risen up against himself and become divided, he cannot stand, but is coming to an end.
Mark	41	3	27	In fact, no one that has got into the house of a strong man is able to plunder his movable goods unless first he binds the strong man, and then he will plunder his house.
Mark	41	3	28	Truly I say to YOU that all things will be forgiven the sons of men, no matter what sins and blasphemies they blasphemously commit.
Mark	41	3	29	However, whoever blasphemes against the holy spirit has no forgiveness forever, but is guilty of everlasting sin.”
Mark	41	3	30	This, because they were saying: “He has an unclean spirit.”
Mark	41	3	31	Now his mother and his brothers came, and, as they were standing on the outside, they sent in to him to call him.
Mark	41	3	32	As it was, a crowd was sitting around him, so they said to him: “Look! Your mother and your brothers outside are seeking you.”
Mark	41	3	33	But in reply he said to them: “Who are my mother and my brothers?”
Mark	41	3	34	And having looked about upon those sitting around him in a circle, he said: “See, my mother and my brothers!
Mark	41	3	35	Whoever does the will of God, this one is my brother and sister and mother.”
book	book_id	chapter	verse	text
Mark	41	4	1	And he again started teaching beside the sea. And a very great crowd gathered near him, so that he went aboard a boat and sat out on the sea, but all the crowd beside the sea were on the shore.
Mark	41	4	2	So he began to teach them many things with illustrations and to say to them in his teaching:
Mark	41	4	3	“Listen. Look! The sower went out to sow.
Mark	41	4	4	And as he was sowing, some seed fell alongside the road, and the birds came and ate it up.
Mark	41	4	5	And other seed fell upon the rocky place where it, of course, did not have much soil, and it immediately sprang up because of not having depth of soil.
Mark	41	4	6	But when the sun rose, it was scorched, and for not having root it withered.
Mark	41	4	7	And other seed fell among the thorns, and the thorns came up and choked it, and it yielded no fruit.
Mark	41	4	8	But others fell upon the fine soil, and, coming up and increasing, they began to yield fruit, and they were bearing thirtyfold, and sixty and a hundred.”
Mark	41	4	9	So he added the word: “Let him that has ears to listen listen.”
Mark	41	4	10	Now when he got to be alone, those around him with the twelve began questioning him on the illustrations.
Mark	41	4	11	And he proceeded to say to them: “To YOU the sacred secret of the kingdom of God has been given, but to those outside all things occur in illustrations,
Mark	41	4	12	in order that, though looking, they may look and yet not see, and, though hearing, they may hear and yet not get the sense of it, nor ever turn back and forgiveness be given them.”
Mark	41	4	13	Further, he said to them: “YOU do not know this illustration, and so how will YOU understand all the other illustrations?
Mark	41	4	14	“The sower sows the word.
Mark	41	4	15	These, then, are the ones alongside the road where the word is sown; but as soon as they have heard it Satan comes and takes away the word that was sown in them.
Mark	41	4	16	And likewise these are the ones sown upon the rocky places: as soon as they have heard the word, they accept it with joy.
Mark	41	4	17	Yet they have no root in themselves, but they continue for a time; then as soon as tribulation or persecution arises because of the word, they are stumbled.
Mark	41	4	18	There are still others who are sown among the thorns; these are the ones that have heard the word,
Mark	41	4	19	but the anxieties of this system of things and the deceptive power of riches and the desires for the rest of the things make inroads and choke the word, and it becomes unfruitful.
