book	book_id	chapter	verse	text
Matthew	40	1	1	The book of the history of Jesus Christ, son of David, son of Abraham:
Matthew	40	1	2	Abraham became father to Isaac;Isaac became father to Jacob;Jacob became father to Judah and his brothers;
Matthew	40	1	3	Judah became father to Perez and to Zerah by Tamar;Perez became father to Hezron;Hezron became father to Ram;
Matthew	40	1	4	Ram became father to Amminadab;Amminadab became father to Nahshon;Nahshon became father to Salmon;
Matthew	40	1	5	Salmon became father to Boaz by Rahab;Boaz became father to Obed by Ruth;Obed became father to Jesse;
Matthew	40	1	6	Jesse became father to David the king. David became father to Solomon by the wife of Uriah;
Matthew	40	1	7	Solomon became father to Rehoboam;Rehoboam became father to Abijah;Abijah became father to Asa;
Matthew	40	1	8	Asa became father to Jehoshaphat;Jehoshaphat became father to Jehoram;Jehoram became father to Uzziah;
Matthew	40	1	9	Uzziah became father to Jotham;Jotham became father to Ahaz;Ahaz became father to Hezekiah;
Matthew	40	1	10	Hezekiah became father to Manasseh;Manasseh became father to Amon;Amon became father to Josiah;
Matthew	40	1	11	Josiah became father to Jeconiah and to his brothers at the time of the deportation to Babylon.
Matthew	40	1	12	After the deportation to Babylon Jeconiah became father to Shealtiel;Shealtiel became father to Zerubbabel;
Matthew	40	1	13	Zerubbabel became father to Abiud;Abiud became father to Eliakim;Eliakim became father to Azor;
Matthew	40	1	14	Azor became father to Zadok;Zadok became father to Achim;Achim became father to Eliud;
Matthew	40	1	15	Eliud became father to Eleazar;Eleazar became father to Matthan;Matthan became father to Jacob;
Matthew	40	1	16	Jacob became father to Joseph the husband of Mary, of whom Jesus was born, who is called Christ.
Matthew	40	1	17	All the generations, then, from Abraham until David were fourteen generations, and from David until the deportation to Babylon fourteen generations, and from the deportation to Babylon until the Christ fourteen generations.
Matthew	40	1	18	But the birth of Jesus Christ was in this way. During the time his mother Mary was promised in marriage to Joseph, she was found to be pregnant by holy spirit before they were united.
Matthew	40	1	19	However, Joseph her husband, because he was righteous and did not want to make her a public spectacle, intended to divorce her secretly.
Matthew	40	1	20	But after he had thought these things over, look! Jehovah’s angel appeared to him in a dream, saying: “Joseph, son of David, do not be afraid to take Mary your wife home, for that which has been begotten in her is by holy spirit.
Matthew	40	1	21	She will give birth to a son, and you must call his name Jesus, for he will save his people from their sins.”
Matthew	40	1	22	All this actually came about for that to be fulfilled which was spoken by Jehovah through his prophet, saying:
Matthew	40	1	23	“Look! The virgin will become pregnant and will give birth to a son, and they will call his name Immanuel,” which means, when translated, “With Us Is God.”
Matthew	40	1	24	Then Joseph woke up from his sleep and did as the angel of Jehovah had directed him, and he took his wife home.
Matthew	40	1	25	But he had no intercourse with her until she gave birth to a son; and he called his name Jesus.
book	book_id	chapter	verse	text
Matthew	40	2	1	After Jesus had been born in Bethlehem of Judea in the days of Herod the king, look! astrologers from eastern parts came to Jerusalem,
Matthew	40	2	2	saying: “Where is the one born king of the Jews? For we saw his star when we were in the east, and we have come to do him obeisance.”
Matthew	40	2	3	At hearing this King Herod was agitated, and all Jerusalem along with him;
Matthew	40	2	4	and on gathering together all the chief priests and scribes of the people he began to inquire of them where the Christ was to be born.
Matthew	40	2	5	They said to him: “In Bethlehem of Judea; for this is how it has been written through the prophet,
Matthew	40	2	6	‘And you, O Bethlehem of the land of Judah, are by no means the most insignificant city among the governors of Judah; for out of you will come forth a governing one, who will shepherd my people, Israel.’”
Matthew	40	2	7	Then Herod secretly summoned the astrologers and carefully ascertained from them the time of the star’s appearing;
Matthew	40	2	8	and, when sending them to Bethlehem, he said: “Go make a careful search for the young child, and when YOU have found it report back to me, that I too may go and do it obeisance.”
Matthew	40	2	9	When they had heard the king, they went their way; and, look! the star they had seen when they were in the east went ahead of them, until it came to a stop above where the young child was.
Matthew	40	2	10	On seeing the star they rejoiced very much indeed.
Matthew	40	2	11	And when they went into the house they saw the young child with Mary its mother, and, falling down, they did obeisance to it. They also opened their treasures and presented it with gifts, gold and frankincense and myrrh.
Matthew	40	2	12	However, because they were given divine warning in a dream not to return to Herod, they withdrew to their country by another way.
Matthew	40	2	13	After they had withdrawn, look! Jehovah’s angel appeared in a dream to Joseph, saying: “Get up, take the young child and its mother and flee into Egypt, and stay there until I give you word; for Herod is about to search for the young child to destroy it.”
Matthew	40	2	14	So he got up and took along the young child and its mother by night and withdrew into Egypt,
Matthew	40	2	15	and he stayed there until the decease of Herod, for that to be fulfilled which was spoken by Jehovah through his prophet, saying: “Out of Egypt I called my son.”
Matthew	40	2	16	Then Herod, seeing he had been outwitted by the astrologers, fell into a great rage, and he sent out and had all the boys in Bethlehem and in all its districts done away with, from two years of age and under, according to the time that he had carefully ascertained from the astrologers.
Matthew	40	2	17	Then that was fulfilled which was spoken through Jeremiah the prophet, saying:
