book	book_id	chapter	verse	text
Philippians	50	1	1	Paul and Timothy, slaves of Christ Jesus, to all the holy ones in union with Christ Jesus who are in Philippi, along with overseers and ministerial servants:
Philippians	50	1	2	May YOU have undeserved kindness and peace from God our Father and the Lord Jesus Christ.
Philippians	50	1	3	I thank my God always upon every remembrance of YOU
Philippians	50	1	4	in every supplication of mine for all of YOU, as I offer my supplication with joy,
Philippians	50	1	5	because of the contribution YOU have made to the good news from the first day until this moment.
Philippians	50	1	6	For I am confident of this very thing, that he who started a good work in YOU will carry it to completion until the day of Jesus Christ.
Philippians	50	1	7	It is altogether right for me to think this regarding all of YOU, on account of my having YOU in my heart, all of YOU being sharers with me in the undeserved kindness, both in my prison bonds and in the defending and legally establishing of the good news.
Philippians	50	1	8	For God is my witness of how I am yearning for all of YOU in such tender affection as Christ Jesus has.
Philippians	50	1	9	And this is what I continue praying, that YOUR love may abound yet more and more with accurate knowledge and full discernment;
Philippians	50	1	10	that YOU may make sure of the more important things, so that YOU may be flawless and not be stumbling others up to the day of Christ,
Philippians	50	1	11	and may be filled with righteous fruit, which is through Jesus Christ, to God’s glory and praise.
Philippians	50	1	12	Now I desire YOU to know, brothers, that my affairs have turned out for the advancement of the good news rather than otherwise,
Philippians	50	1	13	so that my bonds have become public knowledge in association with Christ among all the Praetorian Guard and all the rest;
Philippians	50	1	14	and most of the brothers in the Lord, feeling confidence by reason of my prison bonds, are showing all the more courage to speak the word of God fearlessly.
Philippians	50	1	15	True, some are preaching the Christ through envy and rivalry, but others also through goodwill.
Philippians	50	1	16	The latter are publicizing the Christ out of love, for they know I am set here for the defense of the good news;
Philippians	50	1	17	but the former do it out of contentiousness, not with a pure motive, for they are supposing to stir up tribulation for me in my prison bonds.
Philippians	50	1	18	What then? Nothing, except that in every way, whether in pretense or in truth, Christ is being publicized, and in this I rejoice. In fact, I will also keep on rejoicing,
Philippians	50	1	19	for I know this will result in my salvation through YOUR supplication and a supply of the spirit of Jesus Christ,
Philippians	50	1	20	in harmony with my eager expectation and hope that I shall not be ashamed in any respect, but that in all freeness of speech Christ will, as always before, so now be magnified by means of my body, whether through life or through death.
Philippians	50	1	21	For in my case to live is Christ, and to die, gain.
Philippians	50	1	22	Now if it be to live on in the flesh, this is a fruitage of my work—and yet which thing to select I do not make known.
Philippians	50	1	23	I am under pressure from these two things; but what I do desire is the releasing and the being with Christ, for this, to be sure, is far better.
Philippians	50	1	24	However, for me to remain in the flesh is more necessary on YOUR account.
Philippians	50	1	25	So, being confident of this, I know I shall remain and shall abide with all of YOU for YOUR advancement and the joy that belongs to YOUR faith,
Philippians	50	1	26	so that YOUR exultation may overflow in Christ Jesus by reason of me through my presence again with YOU.
Philippians	50	1	27	Only behave in a manner worthy of the good news about the Christ, in order that, whether I come and see YOU or be absent, I may hear about the things which concern YOU, that YOU are standing firm in one spirit, with one soul striving side by side for the faith of the good news,
Philippians	50	1	28	and in no respect being frightened by YOUR opponents. This very thing is a proof of destruction for them, but of salvation for YOU; and this indication is from God,
Philippians	50	1	29	because to YOU the privilege was given in behalf of Christ, not only to put YOUR faith in him, but also to suffer in his behalf.
Philippians	50	1	30	For YOU have the same struggle as YOU saw in my case and as YOU now hear about in my case.
book	book_id	chapter	verse	text
Philippians	50	2	1	If, then, there is any encouragement in Christ, if any consolation of love, if any sharing of spirit, if any tender affections and compassions,
Philippians	50	2	2	make my joy full in that YOU are of the same mind and have the same love, being joined together in soul, holding the one thought in mind,
Philippians	50	2	3	doing nothing out of contentiousness or out of egotism, but with lowliness of mind considering that the others are superior to YOU,
Philippians	50	2	4	keeping an eye, not in personal interest upon just YOUR own matters, but also in personal interest upon those of the others.
Philippians	50	2	5	Keep this mental attitude in YOU that was also in Christ Jesus,
Philippians	50	2	6	who, although he was existing in God’s form, gave no consideration to a seizure, namely, that he should be equal to God.
Philippians	50	2	7	No, but he emptied himself and took a slave’s form and came to be in the likeness of men.
Philippians	50	2	8	More than that, when he found himself in fashion as a man, he humbled himself and became obedient as far as death, yes, death on a torture stake.
Philippians	50	2	9	For this very reason also God exalted him to a superior position and kindly gave him the name that is above every other name,
Philippians	50	2	10	so that in the name of Jesus every knee should bend of those in heaven and those on earth and those under the ground,
Philippians	50	2	11	and every tongue should openly acknowledge that Jesus Christ is Lord to the glory of God the Father.
