book	book_id	chapter	verse	text
Romans	45	1	1	Paul, a slave of Jesus Christ and called to be an apostle, separated to God’s good news,
Romans	45	1	2	which he promised aforetime through his prophets in the holy Scriptures,
Romans	45	1	3	concerning his Son, who sprang from the seed of David according to the flesh,
Romans	45	1	4	but who with power was declared God’s Son according to the spirit of holiness by means of resurrection from the dead—yes, Jesus Christ our Lord,
Romans	45	1	5	through whom we received undeserved kindness and an apostleship in order that there might be obedience of faith among all the nations respecting his name,
Romans	45	1	6	among which nations YOU also are those called to belong to Jesus Christ—
Romans	45	1	7	to all those who are in Rome as God’s beloved ones, called to be holy ones: May YOU have undeserved kindness and peace from God our Father and the Lord Jesus Christ.
Romans	45	1	8	First of all, I give thanks to my God through Jesus Christ concerning all of YOU, because YOUR faith is talked about throughout the whole world.
Romans	45	1	9	For God, to whom I render sacred service with my spirit in connection with the good news about his Son, is my witness of how without ceasing I always make mention of YOU in my prayers,
Romans	45	1	10	begging that if at all possible I may now at last be prospered in the will of God so as to come to YOU.
Romans	45	1	11	For I am longing to see YOU, that I may impart some spiritual gift to YOU in order for YOU to be made firm;
Romans	45	1	12	or, rather, that there may be an interchange of encouragement among YOU, by each one through the other’s faith, both YOURS and mine.
Romans	45	1	13	But I do not want YOU to fail to know, brothers, that I many times purposed to come to YOU, but I have been hindered until now, in order that I might acquire some fruitage also among YOU even as among the rest of the nations.
Romans	45	1	14	Both to Greeks and to Barbarians, both to wise and to senseless ones I am a debtor:
Romans	45	1	15	so there is eagerness on my part to declare the good news also to YOU there in Rome.
Romans	45	1	16	For I am not ashamed of the good news; it is, in fact, God’s power for salvation to everyone having faith, to the Jew first and also to the Greek;
Romans	45	1	17	for in it God’s righteousness is being revealed by reason of faith and toward faith, just as it is written: “But the righteous one—by means of faith he will live.”
Romans	45	1	18	For God’s wrath is being revealed from heaven against all ungodliness and unrighteousness of men who are suppressing the truth in an unrighteous way,
Romans	45	1	19	because what may be known about God is manifest among them, for God made it manifest to them.
Romans	45	1	20	For his invisible qualities are clearly seen from the world’s creation onward, because they are perceived by the things made, even his eternal power and Godship, so that they are inexcusable;
Romans	45	1	21	because, although they knew God, they did not glorify him as God nor did they thank him, but they became empty-headed in their reasonings and their unintelligent heart became darkened.
Romans	45	1	22	Although asserting they were wise, they became foolish
Romans	45	1	23	and turned the glory of the incorruptible God into something like the image of corruptible man and of birds and four-footed creatures and creeping things.
Romans	45	1	24	Therefore God, in keeping with the desires of their hearts, gave them up to uncleanness, that their bodies might be dishonored among them,
Romans	45	1	25	even those who exchanged the truth of God for the lie and venerated and rendered sacred service to the creation rather than the One who created, who is blessed forever. Amen.
Romans	45	1	26	That is why God gave them up to disgraceful sexual appetites, for both their females changed the natural use of themselves into one contrary to nature;
Romans	45	1	27	and likewise even the males left the natural use of the female and became violently inflamed in their lust toward one another, males with males, working what is obscene and receiving in themselves the full recompense, which was due for their error.
Romans	45	1	28	And just as they did not approve of holding God in accurate knowledge, God gave them up to a disapproved mental state, to do the things not fitting,
Romans	45	1	29	filled as they were with all unrighteousness, wickedness, covetousness, badness, being full of envy, murder, strife, deceit, malicious disposition, being whisperers,
Romans	45	1	30	backbiters, haters of God, insolent, haughty, self-assuming, inventors of injurious things, disobedient to parents,
Romans	45	1	31	without understanding, false to agreements, having no natural affection, merciless.
Romans	45	1	32	Although these know full well the righteous decree of God, that those practicing such things are deserving of death, they not only keep on doing them but also consent with those practicing them.
book	book_id	chapter	verse	text
Romans	45	2	1	Therefore you are inexcusable, O man, whoever you are, if you judge; for in the thing in which you judge another, you condemn yourself, inasmuch as you that judge practice the same things.
Romans	45	2	2	Now we know that the judgment of God is, in accord with truth, against those who practice such things.
Romans	45	2	3	But do you have this idea, O man, while you judge those who practice such things and yet you do them, that you will escape the judgment of God?
Romans	45	2	4	Or do you despise the riches of his kindness and forbearance and long-suffering, because you do not know that the kindly quality of God is trying to lead you to repentance?
Romans	45	2	5	But according to your hardness and unrepentant heart you are storing up wrath for yourself on the day of wrath and of the revealing of God’s righteous judgment.
Romans	45	2	6	And he will render to each one according to his works:
Romans	45	2	7	everlasting life to those who are seeking glory and honor and incorruptibleness by endurance in work that is good;
Romans	45	2	8	however, for those who are contentious and who disobey the truth but obey unrighteousness there will be wrath and anger,
Romans	45	2	9	tribulation and distress, upon the soul of every man who works what is injurious, of the Jew first and also of the Greek;
Romans	45	2	10	but glory and honor and peace for everyone who works what is good, for the Jew first and also for the Greek.
Romans	45	2	11	For there is no partiality with God.
Romans	45	2	12	For instance, all those who sinned without law will also perish without law; but all those who sinned under law will be judged by law.
Romans	45	2	13	For the hearers of law are not the ones righteous before God, but the doers of law will be declared righteous.
Romans	45	2	14	For whenever people of the nations that do not have law do by nature the things of the law, these people, although not having law, are a law to themselves.
Romans	45	2	15	They are the very ones who demonstrate the matter of the law to be written in their hearts, while their conscience is bearing witness with them and, between their own thoughts, they are being accused or even excused.
Romans	45	2	16	This will be in the day when God through Christ Jesus judges the secret things of mankind, according to the good news I declare.
Romans	45	2	17	If, now, you are a Jew in name and are resting upon law and taking pride in God,
Romans	45	2	18	and you know his will and approve of things that are excellent because you are orally instructed out of the Law;
Romans	45	2	19	and you are persuaded that you are a guide of the blind, a light for those in darkness,
Romans	45	2	20	a corrector of the unreasonable ones, a teacher of babes, and having the framework of the knowledge and of the truth in the Law—
Romans	45	2	21	do you, however, the one teaching someone else, not teach yourself? You, the one preaching “Do not steal,” do you steal?
Romans	45	2	22	You, the one saying “Do not commit adultery,” do you commit adultery? You, the one expressing abhorrence of the idols, do you rob temples?
Romans	45	2	23	You, who take pride in law, do you by your transgressing of the Law dishonor God?
Romans	45	2	24	For “the name of God is being blasphemed on account of YOU people among the nations”; just as it is written.
